autor,ano,titulo,resumo,doi
FIALHO C;BONOMO M;DA SILVA S;MIRANDA A,2023,"EPIDEMIOLOGICAL PROFILE OF ADOLESCENTS LIVING WITH HIV/AIDS IN ESPIRITO SANTO, BRAZIL: A CROSS-SECTIONAL STUDY","INTRODUCTION: THE AIDS EPIDEMIC HAS UNDERGONE SEVERAL TRANSFORMATIONS, AND, IN RECENT YEARS, THERE HAS BEEN AN INCREASE IN CASES OF HIV/AIDS AMONG ADOLESCENTS AND YOUNG PEOPLE. THUS, IT IS ESSENTIAL TO KNOW THIS POPULATION TO BASE HEALTH ACTIONS SCIENTIFICALLY. OBJECTIVE: THIS STUDY AIMS TO ANALYZE THE EPIDEMIOLOGICAL PROFILE OF ADOLESCENTS LIVING WITH HIV/AIDS IN ESPÍRITO SANTO, BRAZIL. METHODS: A DESCRIPTIVE, SECTIONAL STUDY IN WHICH NOTIFICATIONS OF HIV/AIDS AMONG ADOLESCENTS AGED 13 TO 19 BETWEEN 2010 AND 2020 WERE ANALYZED. RESULTS: 523 ADOLESCENTS WITH HIV/AIDS WERE FOUND IN THE ANALYZED PERIOD (AN AVERAGE OF 47 CASES/YEAR). THERE WAS A PREDOMINANCE OF MALE ADOLESCENTS (68.8%), OLDER THAN 16 YEARS (MEAN=18.0 YEARS), OF MIXED RACE/COLOUR (54.6%), LIVING IN THE METROPOLITAN REGION NEAR THE CAPITAL. IT WAS OBSERVED THAT THE SCHOOLING OF FEMALES IS LOWER, WITH 47.2% OF THEM IN ELEMENTARY SCHOOL, WHILE 45.0% OF THE BOYS ARE IN HIGH SCHOOL. IN MOST CASES, THE INFECTION OCCURRED VIA SEXUAL INTERCOURSE, AMONG MEN, THROUGH HOMOSEXUAL RELATIONS (55.0%), AND AMONG WOMEN, THROUGH HETEROSEXUAL RELATIONS (82.2%). THE HIV VIRAL LOAD WAS DETECTABLE IN ALMOST ALL (84.8%) CASES, AND 11 (6.8%) OF THESE ADOLESCENTS DIED. CONCLUSION: THE EPIDEMIOLOGICAL PROFILE OF HIV AND AIDS CASES AMONG ADOLESCENTS IN ESPÍRITO SANTO SHOWS A HIGHER FREQUENCY OF CASES IN MALES AGED 16 TO 19 YEARS, WITH INCOMPLETE HIGH SCHOOL EDUCATION, WHO ACQUIRED HIV THROUGH UNPROTECTED SEX IN HOMOSEXUAL RELATIONSHIPS. WE HIGHLIGHT THE HIGH PERCENTAGE OF YOUNG PEOPLE WITH DETECTABLE VIRAL LOADS AND DEATHS DUE TO COMPLICATIONS OF AIDS. © 2023 THE AUTHORS (2023), THIS ARTICLE IS DISTRIBUTED UNDER THE TERMS OF THE CREATIVE COMMONS ATTRIBUTION 4.0 INTERNATIONAL LICENSE (HTTP://CREATIVECOMMONS.ORG/LICENSES/BY/4.0/); INTRODUÇÃO: A EPIDEMIA DA AIDS PASSOU POR DIVERSAS TRANSFORMAÇÕES E, NOS ÚLTIMOS ANOS, OBSERVA-SE AUMENTO DE CASOS DE HIV/AIDS ENTRE ADOLESCENTES E JOVENS. ASSIM, É FUNDAMENTAL CONHECER ESSA POPULAÇÃO PARA EMBASAR CIENTÍFICAMENTE AS AÇÕES EM SAÚDE. OBJETIVO: ANALISAR O PERFIL EPIDEMIOLÓGICO DE ADOLESCENTES QUE VIVEM COM HIV/AIDS NO ESTADO DO ESPÍRITO SANTO, BRASIL. MÉTODO: ESTUDO DESCRITIVO, SECCIONAL, NO QUAL FORAM ANALISADAS NOTIFICAÇÕES DE HIV/AIDS ENTRE ADOLESCENTES DE 13 A 19 ANOS, ENTRE 2010 E 2020. RESULTADOS: FORAM ENCONTRADOS 523 ADOLESCENTES VIVENDO COM HIV/AIDS NO PERÍODO ANALISADO (MÉDIA DE 47 CASOS/ANO). PREVALECEU OS ADOLESCENTES DO SEXO MASCULINO (68,8%), COM MAIS DE 16 ANOS (MÉDIA=18,0 ANOS), DE RAÇA/COR PARDA (54,6%), RESIDENTES NA REGIÃO METROPOLITANA, PRÓXIMA A CAPITAL. FOI OBSERVADO QUE A ESCOLARIDADE DO SEXO FEMININO É MENOR, ESTANDO 47,2% DELAS NO ENSINO FUNDAMENTAL, ENQUANTO 45,0% DOS RAPAZES JÁ ESTÃO NO ENSINO MÉDIO. EM GRANDE PARTE DOS CASOS A INFECÇÃO OCORREU VIA SEXUAL, SENDO, ENTRE OS HOMENS, ATRAVÉS DE RELAÇÕES HOMOSSEXUAIS (55,0%) E ENTRE AS MULHERES POR MEIO DE RELAÇÕES HETEROSSEXUAIS (82,2%). A CARGA VIRAL DE HIV FOI DETECTÁVEL EM QUASE TOTALIDADE (84,8%) DOS CASOS E 11 (6,8%) DESTES ADOLESCENTES EVOLUÍRAM PARA ÓBITO. CONCLUSÃO: O PERFIL EPIDEMIOLÓGICO DOS CASOS DE HIV E AIDS, ENTRE OS ADOLESCENTES, NO ESTADO DO ESPÍRITO SANTO, DEMONSTRA MAIOR FREQUÊNCIA DE CASOS NO SEXO MASCULINO, NA FAIXA ETÁRIA DE 16 A 19 ANOS, COM ENSINO MÉDIO INCOMPLETO, QUE ADQUIRIRAM HIV POR VIA SEXUAL DESPROTEGIDA, EM RELAÇÕES HOMOSSEXUAIS. DESTACA-SE A ALTA PORCENTAGEM DE JOVENS COM CARGA VIRAL DETECTÁVEL E OS ÓBITOS EM DECORRÊNCIA DE COMPLICAÇÕES DA AIDS. © 2023 THE AUTHORS (2023), THIS ARTICLE IS DISTRIBUTED UNDER THE TERMS OF THE CREATIVE COMMONS ATTRIBUTION 4.0 INTERNATIONAL LICENSE (HTTP://CREATIVECOMMONS.ORG/LICENSES/BY/4.0/)",10.36311/jhgd.v33.13332
DE ALMEIDA J,2024,"WRITING BEYOND RACE: THEORY AND PRACTICE, BY BELL HOOKS; [ESCREVER ALÉM DA RAÇA: TEORIA E PRÁTICA, DE BELL HOOKS]",[NO ABSTRACT AVAILABLE],10.1590/18094449202400700011
GUIMARÃES A,2024,"RACE AND COLOR IN CONTEMPORARY BRAZIL, POLITICAL OPPORTUNITY AND HISTORICAL TENDENCY; [RAÇA E COR NO BRASIL CONTEMPORÂNEO, OPORTUNISMO POLÍTICO E TENDÊNCIA HISTÓRICA]","THIS ARTICLE EXAMINES THE DATA PUBLISHED BY IBGE ON THE RACIAL/COLOR COMPOSITION OF BRAZIL FROM 1872 TO 2022, HIGHLIGHTING THE HISTORICAL TRENDS IN THE GROWTH OF WHITE, BROWN, AND BLACK RACIAL GROUPS. THREE MAIN TRENDS ARE IDENTIFIED: A PROCESS OF WHITENING FROM THE LATE 19TH CENTURY TO THE 1960S, THE CONTINUOUS GROWTH OF THE BROWN POPULATION IN RELATION TO BOTH THE BLACK AND THE WHITE POPULATION FROM THE 1960S TO THE 1990S, AND THE GRADUAL INCREASE OF BLACK AND BROWN POPULATIONS WITH A DECLINE IN THE WHITE POPULATION FROM 1991 ONWARDS. THE ARGUMENT IS THAT THESE TRENDS ARE MAINLY DUE TO RACIAL RECLASSIFICATION INFLUENCED BY IDEOLOGICAL FACTORS − THE WAY IN WHICH THE BRAZILIAN NATION IS PREDOMINANTLY DEFINED IN EACH PERIOD − RATHER THAN DEMOGRAPHIC CHANGES OR PUBLIC POLICIES − SUCH AS THOSE THAT HAVE BENEFITED BLACKS AND BROWNS FROM THE PRESENT CENTURY ONWARDS. © 2024, UNIVERSIDADE DE SAO PAULO. MUSEU DE ZOOLOGIA. ALL RIGHTS RESERVED.",10.11606/1678-9857.ra.2022.221938
SILVEIRA R;ROSA R;FOGAÇA G;SANTOS L;NARDI H;ALVES M;BAIRROS F,2021,REFLECTIONS ON THE COLLECTION OF THE ISSUE OF RACE/ COLOR IN THE BASIC CARE (SUS) IN THE SOUTH OF BRAZIL; [REFLEXÕES SOBRE A COLETA DO QUESITO RAÇA/COR NA ATENÇÃO BÁSICA (SUS) NO SUL DO BRASIL],"THIS ARTICLE ANALYZES THE FORM AND EFFECTS OF COLLECTING INFORMATION ON RACE/COLOR IN THE RESEARCH “RACISM, KNOWLEDGE-POWER RELATIONS AND PSYCHOLOGICAL SUFFERING”. THE RESEARCH WAS CARRIED OUT IN A PARTNERSHIP BETWEEN THE FEDERAL UNIVERSITIES OF RIO GRANDE DO SUL AND PELOTAS AND THE MUNICIPAL HEALTH DEPARTMENTS OF PORTO ALEGRE AND PELOTAS, FOCUSED ON THE BASIC CARE OF THE UNIFIED HEALTH SYSTEM (SUS). THIS IS A RESEARCH DEVELOPED IN CONJUNCTION WITH HEALTH PROFESSIONALS. THE THEORETICAL-METHODOLOGICAL FRAMEWORK IS BASED ON SOCIAL PSYCHOLOGY AND RESEARCH-INTERVENTION. IN TOTAL, 580 USERS WERE INTERVIEWED, AND 11 FOCUS GROUPS WERE HELD WITH USERS AND HEALTH PROFESSIONALS. THE RESULTS SHOW THAT 53% OF THE INTERVIEWED USERS DECLARED THEMSELVES AS BLACK, CORROBORATING OTHER STUDIES THAT DEMONSTRATE THAT SUS’ USERS ARE MOSTLY BLACK. IN THE ANALYSIS OF THE FOCUS GROUPS, WE IDENTIFIED THREE MAIN ASPECTS: (1) THERE IS A DIFFICULTY IN ASKING/ ANSWERING THE RACIAL SELF-DECLARATION; (2) RACISM IS EXPRESSED IN THE COLLECTION OF INFORMATION ON RACE/ COLOR; (3) HEALTH PROFESSIONALS FIND IT DIFFICULT TO RECOGNIZE THE USEFULNESS OF THE RACE/COLOR ITEM FOR HEALTH PRACTICES. THUS, IT IS NECESSARY TO STRENGTHEN CONTINUOUS EDUCATION PRACTICES ON THE RELATION BETWEEN RACISM AND HEALTH. © 2021, UNIV SAOPAULO. ALL RIGHTS RESERVED.",10.1590/S0104-12902021200414
MENEGOTTO J;RIBEIRO F,2024,"PERIOD POVERTY BEHIND THE NUMBERS: GENDER, RACE, AND CLASS IN THE MENSTRUAL EXPERIENCES OF GIRLS FROM AN URBAN PERIPHERY IN BRAZIL; [POBREZA MENSTRUAL MÁS ALLÁ DE LAS CIFRAS: GÉNERO, RAZA Y CLASE EN LAS EXPERIENCIAS MENSTRUALES DE NIÑAS DE UNA PERIFERIA URBANA BRASILEÑA]; [POBREZA MENSTRUAL ALÉM DOS NÚMEROS: GÊNERO, RAÇA E CLASSE NAS EXPERIÊNCIAS MENSTRUAIS DE MENINAS DE UMA PERIFERIA URBANA BRASILEIRA]","THIS ARTICLE ANALYZES PERIOD POVERTY BASED ON INTERVIEWS WITH SIX GIRLS LIVING IN A REGION ON THE OUTSKIRTS OF THE CITY OF PORTO ALEGRE (BRAZIL). THE RESULTS OF THE QUALITATIVE STUDY REVEAL SOME REALITIES THAT ARE BEHIND THE NUMBERS. THE LACK OF INFORMATION ABOUT MENSTRUAL HEALTH, MENSTRUAL CYCLES, AND THE LIMITED SELF-AWARENESS ABOUT THE BODY BECAME EVIDENT. ALL THE INTERVIEWED ADOLESCENTS WHO SOUGHT HEALTH SERVICES DUE TO ANY MENSTRUAL OR BODY-RELATED ISSUES DURING PUBERTY RECEIVED A RACIST, SEXIST, OR AGEIST TREATMENT OR A COMBINATION OF THESE PREJUDICES. THEIR ACCOUNTS REGARDING ACCESS TO MENSTRUAL HYGIENE PRODUCTS AND SANITATION INFRASTRUCTURE DO NOT FULLY CORRESPOND TO THE DATA ON PERIOD POVERTY: THE GIRLS HAVE ACCESS TO DISPOSABLE SANITARY PADS DURING MENSTRUATION, CLEAN WATER, AND BATHROOMS IN USABLE CONDITIONS. THE STORIES TOLD BY THE TEENAGERS EXPAND THE DISCUSSION ABOUT PERIOD POVERTY AS THEY HIGHLIGHT CULTURAL FACTORS RELATED TO THEIR MENSTRUAL EXPERIENCES. THEIR ACCOUNTS ALSO SHOW THAT INITIATIVES AND PUBLIC POLICIES TO COMBAT MENSTRUAL PRECARIOUSNESS CANNOT BE LIMITED TO THE MATERIAL FIELD AND POINT TO THE NEED FOR SYSTEMIC CULTURAL CHANGES TO COMBAT RACISM, SEXISM, AND AGEISM. © 2024 THE AUTHOR(S). PUBLISHED BY INFORMA UK LIMITED, TRADING AS TAYLOR & FRANCIS GROUP.",10.1080/25729861.2024.2397293
BORGONGINO B,2021,THE MONK AND THE ETHIOPIAN DEMON: RACE AND DISCRETIO IN JOHN CASSIAN'S COLLATIONES PATRUM (426-428); [O MONGE E O DEMÔNIO ETÍOPE: RAÇA E DISCRETIO NAS COLLATIONES PATRUM DE JOÃO CASSIANO (426-428)],"JOHN CASSIAN WROTE THE COLLATIONES PATRUM BETWEEN 426 AND 428, AT A TIME WHEN HE WAS ALREADY ESTABLISHED IN A MONASTERY AROUND THE CITY OF MARSEILLE, IN GAUL. IN THIS DOCUMENT, HE DISCUSSED SEVERAL THEMES ABOUT MONASTIC LIFE, AMONG THEM, THE VIRTUE OF DISCRETIO. JOHN CASSIAN ALSO INCLUDED ILLUSTRATIVE NARRATIVES FOR HIS ARGUMENTS. SOME DEPICTED DEMONS IN THE FORM OF ETHIOPIANS INSTIGATING THE MONKS TO INDULGE IN VICE, WHICH ALIGNED WITH THE RACIAL DISCOURSES THEN CIRCULATING IN THE MEDITERRANEAN. THE OBJECTIVE OF THIS PAPER IS TO ANALYZE THE RELATIONSHIPS BETWEEN THE ETHIOPIAN DEMONS AND THE CONCEPT OF DISCRETION IN THE COLLATIONES PATRUM. © 2021 UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION. ALL RIGHTS RESERVED.",10.1590/2237-101X02204704
MUNARETO G,2023,EUGENICS AND RACE IN THE POST-WAR: THE JOURNAL MANKIND QUARTERLY AND THE THEORIES OF THE FAR-RIGHT; [EUGENIA E RAÇA NO PÓS-GUERRA: O PERIÓDICO MANKIND QUARTERLY E AS TEORIZAÇÕES DA EXTREMA-DIREITA],"THE AIM OF THIS ARTICLE IS TO ANALYZE THE PERSISTENCE OF EUGENICS AFTER THE END OF THE SECOND WORLD WAR. USING AS AN OBJECT THE PERIODICAL MANKIND QUARTERLY, FOUNDED IN 1960 IN THE UNITED STATES, WE WILL TRY TO DEMONSTRATE HOW A SPECIFIC TYPE OF EUGENICS PROJECT, CENTERED ON THE IDEA OF RACE, SPREAD WITHIN THE EXTREME RIGHT FROM THE INTERNATIONAL NETWORK, WHICH HAD PARTICIPANTS FROM DIFFERENT CONTINENTS AND SUPPORTED NUMEROUS IDEAS, INCLUDING WHITE SUPREMACY, ANTI- SEMITISM, ANTI-COMMUNISM, NEO-NAZISM AND NEO-FASCISM. WE WILL ALSO TRY TO ADDRESS HOW THESE ISSUES CONTRIBUTE TO DEMONSTRATING THE CONTINUITY OF EUGENICS AND THE CONCEPT OF RACE IN THE POST-SECOND WORLD WAR PERIOD, CONTRADICTING THE LINE THAT HAS LONG BEEN PREDOMINANT WITHIN HISTORIOGRAPHY ON THESE TWO SUBJECTS. © (2023) ASSOCIACAO NACIONAL DE HISTORIA.",10.1590/1806-93472023V43N94-11
DE OLIVEIRA S,2021,"URBAN INFORMALITY, WORKING CLASS AND RACE IN RIO DE JANEIRO: THE HISTORY OF FAVELA CENSUS (1948-1960); [INFORMALIDADE URBANA, CLASSE TRABALHADORA E RAÇA NO RIO DE JANEIRO: A HISTÓRIA DOS CENSOS DE FAVELAS (1948-1960)]","THE ARTICLE ANALYZES THE HISTORY OF FAVELA CENSUSES IN RIO DE JANEIRO PRODUCED UNDER THE CENSUS SYSTEM FORMED BY THE BRAZILIAN INSTITUTE OF GEOGRAPHY AND STATISTICS. IN CONTRAST TO ANALYZING STATISTICAL DATA AS TRANSPARENCY OF THE REAL, IT UNDERSTANDS THEM AS A TECHNOLOGY OF GOVERNMENT RELATED TO PUBLIC POLICIES AND POWER RELATIONS. FAVELA CENSUSES SET NEW PARAMETERS FOR REPRESENTING URBAN POVERTY IN BRAZIL. THE DEFINITION OF WHAT A FAVELA WOULD BE BASED ON QUANTIFIABLE VARIABLES, THE DIFFERENTIATION BETWEEN THE “WORKERS” AND THE “INACTIVE ONES” AND THE IMAGINATION OF THE BLACK RACIAL DIFFERENCE IN THE FAVELAS WERE POLITICIZED THEMES, WITH GREAT VARIATION IN THE FORM OF REGISTRATION IN THE FIRST STATISTICS. THE ANALYSIS INCLUDES THE STATISTICS FOR 1949, 1950 AND 1960. © 2021 UNIVERSIDADE DE SAO PAULO, FACULDADE DE FILOSOFIA, LETRAS E CIENCIAS HUMANAS. ALL RIGHTS RESERVED.",10.11606/ISSN.2316-9141.RH.2021.170643
DE CARVALHO FIGUEIREDO D;LOPES J;UESSLER L,2023,"APPRAISAL, GENDER AND RACE IN THE DISCOURSE ABOUT COILY HAIR; [AVALIATIVIDADE, GÊNERO E RAÇA NO DISCURSO SOBRE CABELO CRESPO]; [VALORACIÓN, GÉNERO Y RAZA EN EL DISCURSO SOBRE EL CABELLO RIZADO]","THIS ARTICLE DEALS WITH THE RELATIONSHIP BETWEEN GENDER, RACE AND POWER, IN WHICH THE SOCIAL PRACTICES OF AFRO HAIR CARE ARE THE FOCUS OF OUR ANALYSIS (FAIRCLOUGH, 2003). TAKING INTO ACCOUNT LANGUAGE IN USE AND THE MACRO-STRUCTURES OF GENDER AND RACE THAT ORGANIZE SOCIAL LIFE, WE UNDERSTAND THE SYSTEM OF APPRAISAL (MARTIN; WHITE, 2005) AS ONE OF THE POSSIBILITIES FOR CRITICAL DISCOURSE ANALYSIS WITHIN THE PERSPECTIVE OF SYSTEMIC-FUNCTIONAL LINGUISTICS (HALLIDAY; MATTHIESSEN, 2014). BY ANALYZING NARRATIVES WITH A FOCUS ON THE ATTITUDE SUBSYSTEM, WE CRITICALLY ELABORATE THE INTERSECTIONS BETWEEN GENDER, CAPITALISM, RACE AND THE DISCOURSE ON COILY HAIR. © 2023 THESAURUS EDITORA DE BRASILIA LTDA.. ALL RIGHTS RESERVED.",10.26512/les.v24i2.51271
LINS I,2023,FROM THE 'BAIXADA' UP TO THE 'SOUTH ZONE': PATHS OF POLITICAL RACE VIOLENCE IN RIO DE JANEIRO; [DA BAIXADA À ZONA SUL: CAMINHOS DA VIOLÊNCIA POLÍTICA DE RAÇA NO RIO DE JANEIRO],"THE RESEARCH SEEKS TO UNDERSTAND THE IMPACT OF POLITICAL VIOLENCE AND URBAN VIOLENCE ON THE POLITICAL PARTICIPATION OF BLACK ACTIVISTS IN THE STATE OF RIO DE JANEIRO, AS WELL AS THE INTERTWINING OF THESE FORMS OF RACIAL VIOLENCE. SEMI-STRUCTURED INTERVIEWS WERE CONDUCTED WITH 11 ACTIVISTS FROM POLITICAL ORGANIZATIONS AND SOCIAL MOVEMENTS. THE TEXT ADDRESSES THE ROLE OF THE STATE IN DEEPENING POLITICAL INEQUALITIES BY VIOLENCE AS A FORM OF DOMINATION. FROM THE EMPIRICAL MATERIAL, IT IS CONCLUDED THAT VIOLENCE IN THE TERRITORIES IS A DISINCENTIVE FOR BLACK ASSOCIATIVISM BECAUSE IT CREATES A COLLECTIVE MEANING FOR THE BLACK POPULATION AND, FOR THIS REASON, IS EXPRESSED IN SUCH AN EXPLICIT AND PHYSICALLY VIOLENT WAY. THERE IS AN EFFORT BY MILICIAS GROUPS AND POLICE OFFICERS TO SILENCE MILITANTS USING FEAR AS A TOOL FOR THE CONSTRUCTION OF A SENSE OF BEING A MILITANT. © 2023 AUTHORS. ALL RIGHTS RESERVED.",10.31060/RBSP.2023.V17.N1.1532
MONTEIRO R;DOS SANTOS M;DE ARAÚJO E,2021,"HEALTH, CURRICULUM AND EDUCATION: EXPERIENCES ABOUT RACE, ETHNICITY AND GENDER; [SAÚDE, CURRÍCULO, FORMAÇÃO: EXPERIÊNCIAS SOBRE RAÇA, ETNIA E GÊNERO]; [SALUD, CURRÍCULUM, EDUCACIÓN: EXPERIENCIAS SOBRE RAZA, ETNIA Y GÉNERO]","RACISM CREATES INEQUITIES IN HEALTH AND A MAJOR REASON FOR THE VIOLATION OF RIGHTS. CURRICULUM POLICIES THAT COVER AFFIRMATIVE ACTIONS AND THE BRAZILIAN NATIONAL POLICY FOR INTEGRAL HEALTH OF THE BLACK POPULATION STRESS THAT THE EDUCATION OF HEALTH PROFESSIONALS IS A STRATEGIC FIELD FOR CHANGING THIS SITUATION. THIS ARTICLE REPORTS THE SUCCESSFUL EXPERIENCE OF A WORKING GROUP (WG 28 – HEALTH, CURRICULUM, EDUCATION) COMPOSED OF MEMBERS OF THE ABRASCO RACISM AND HEALTH WORKING GROUP. BY DISCUSSING THE EDUCATION OF HEALTH PROFESSIONALS, HEALTH POLICIES FOR THE BLACK POPULATION, AND THE EDUCATION ON ETHNIC-RACIAL RELATIONS, THE WG MOBILIZED EFFORTS TO PROMOTE EDUCATION, SURVEY EDUCATIONAL PROPOSALS, AND DISSEMINATE EXPERIENCES THAT RESULTED IN THE ORGANIZATION AND PUBLICATION OF A DOSSIER. THIS REPORT REVEALS A COLLABORATIVE WORK METHODOLOGY AND PRESENTS THE CHALLENGES AND POSSIBILITIES FOR HEALTH EDUCATION OF THE BLACK POPULATION. © 2021, FUNDACAO UNI BOTUCATU/UNESP. ALL RIGHTS RESERVED.",10.1590/INTERFACE.200697
BALABAN M,2022,RIDICULOUS INCOHERENCE?: RACE AND SLAVERY IN THE COURT’S ILLUSTRATED PRESS – 1884-1886; [RIDÍCULA INCOERÊNCIA?: RAÇA E ESCRAVIDÃO NA IMPRENSA ILUSTRADA DA CORTE – 1884-1886],"THE ILLUSTRATED PRESS OF THE COURT IN THE SECOND HALF OF THE NINETEENTH CENTURY, BESIDES ENTERTAINING ITS READERS, PARTICIPATED IN THE POLITICAL DEBATE. BUT HOW DID IT DO SO? THIS ARTICLE OFFERS AN ANSWER TO THAT QUESTION THROUGH THE ANALYSIS OF A SINGLE IMAGE, WHICH, PUBLISHED IN THE REVISTA ILLUSTRADA IN JULY 1884, COMMENTS ON THE PARLIAMENTARY DEBATES ABOUT THE DANTAS PROJECT. I ARGUE THAT, THROUGH A WELL-WOVEN COMPOSITION OF ELEMENTS, THE PRINT PRODUCES A FALSE ARGUMENT, A DELIBERATE LIE. WITH SUCH A PROCEDURE, IT MAKES A SELF-PRAISE AIMING TO DISTINGUISH THE KIND OF PERIODISM IT PRACTICED AND ITS AUTHORS, WHITE PEOPLE AND ALIGNED WITH A STRAND OF ABOLITIONISM. © 2022. REVISTA BRASILEIRA DE HISTORIA.ALL RIGHTS RESERVED",10.1590/1806-93472022v42n90-18
DE OLIVEIRA A;ALVES-BRITO A;ROSA K,2024,A LITERATURE REVIEW ON CRITICAL RACE THEORY IN SCIENTIFIC EDUCATION; [UMA REVISÃO DE LITERATURA SOBRE A TEORIA CRÍTICA DA RAÇA NA EDUCAÇÃO CIENTÍFICA],"THE CRITICAL RACE THEORY (CRT) PLAYS A FUNDAMENTAL ROLE IN HELPING TO UNDERSTAND THE DYNAMICS OF RACIAL RELATIONS IN THE COUNTRY. THIS WORK CONSISTS OF A LITERATURE REVIEW ON THE ARTICULATION AND USE OF CRT IN SCIENCE EDUCATION. THE MAIN OBJECTIVE WAS TO MAP, IDENTIFY, AND ANALYZE ACADEMIC PRODUCTION IN SCIENCE EDUCATION THAT ADOPTED CRT AS A THEORETICAL AND/OR METHODOLOGICAL FRAMEWORK FROM 1995 TO 2021, IN ORDER TO UNDERSTAND THE DEBATES IN THE FIELD OF RESEARCH AND TEACHING OF SCIENCE EDUCATION, BOTH IN THE BRAZILIAN AND INTERNATIONAL CONTEXTS. THE SEARCH WAS CARRIED OUT BY CONSULTING ARTICLES IN THE ELECTRONIC DATABASES ERIC (EDUCATIONAL RESOURCE INFORMATION CENTRE), CAPES (COORDINATION FOR THE IMPROVEMENT OF HIGHER EDUCATION PERSONNEL) JOURNAL PORTAL, AND SCIELO (SCIENTIFIC ELECTRONIC LIBRARY ONLINE). THE SEARCH RESULT WAS 40 ARTICLES, PUBLISHED IN 24 INTERNATIONAL JOURNALS. AFTER SELECTION, READING, AND ANALYSIS OF THE ARTICLES, THE WORKS WERE ORGANIZED INTO THREE CATEGORIES: (I) COMMITMENT OF SCIENCE EDUCATION TO RACIAL ISSUES; (II) EDUCATION OF YOUTH FROM A RACIAL PERSPECTIVE; (III) TEACHER PERCEPTION IN RACE-CENTERED TRAINING. THE RESEARCH HIGHLIGHTS THE NEED FOR MORE STUDIES AND RESEARCH EFFORTS REGARDING CRT IN THE BRAZILIAN CONTEXT, ESPECIALLY IN SCIENCE EDUCATION AND IN THE PHYSICAL SCIENCES, WHERE IT IS STILL NOT WIDELY DISSEMINATED. © 2024 UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL, INSTITUTO DE FISICA. ALL RIGHTS RESERVED.",10.22600/1518-8795.ienci2024v29n1p23
MOTA A,2023,FOR A CULTURAL HISTORY OF RACE: URGENT REFLECTIONS ON REMOTE AND RECENT TIMES; [POR UMA HISTÓRIA CULTURAL DA RAÇA: REFLEXÕES URGENTES SOBRE TEMPOS REMOTOS E RECENTES],[NO ABSTRACT AVAILABLE],10.1590/1806-93472023V43N94-20
HAYASHI B,2022,METAMORPHOSIS OF THE YELLOW: JAPANESE IMMIGRATION FROM “YELLOW PERIL” TO “RACIAL DEMOCRACY”; [METAMORFOSES DO AMARELO: A IMIGRAÇÃO JAPONESA DO “PERIGO AMARELO” À “DEMOCRACIA RACIAL”],"TAKING THE 1946 CONSTITUENT ASSEMBLY AND THE 1958 LEGISLATIVE SESSION AS LANDMARKS, THIS ARTICLE EXAMINES THE RADICAL TRANSFORMATIONS EXPERIENCED BY JAPANESE IMMIGRANTS AND THEIR DESCENDANTS IN THE FIRST YEARS AFTER WORLD WAR II. WHILE IN 1946, JAPANESE IMMIGRATION WAS NEARLY PROHIBITED CONSTITUTIONALLY, IN 1958 THE FEDERAL LEGISLATURE IS MARKED BY CELEBRATIONS OF THE FIFTIETH ANNIVERSARY OF THIS IMMIGRATION TO BRAZIL. BASED ON THE SPEECHES OF CONGRESSMEN, I AIM TO IDENTIFY HOW AND ON WHAT GROUNDS THEY DREW BOUNDARIES SEPARATING OR NOT THE JAPANESE IMMIGRANTS AND THEIR DESCENDANTS FROM BRAZILIAN NATIONALITY. THE STUDY OF THE LEGISLATIVE BRANCH WILL ALSO ALLOW US TO VERIFY THE CONSEQUENCES OF EACH VISION IN THE CONCRETE PROPOSALS PRESENTED, DISCUSSED AND VOTED IN PARLIAMENT. THE CHANGES IN THE CONCEPTIONS OF RACE AND NATIONALITY THAT DOMINATED THE DEBATES AND DELIBERATIONS IN THE BRAZILIAN FEDERAL LEGISLATURE AT EACH MOMENT WILL BE CENTRAL TO THE UNDERSTANDING OF THE PROCESS. © 2022. ALL RIGHTS RESERVED.",10.1590/3710809/2022
