Scopus refine results values

"Your query : (TITLE-ABS-KEY(""raça"") AND ( LIMIT-TO ( AFFILCOUNTRY,""Brazil"" ) )  AND ( LIMIT-TO ( SUBJAREA,""SOCI"" ) OR LIMIT-TO ( SUBJAREA,""ARTS"" ) OR LIMIT-TO ( SUBJAREA,""MULT"" ) OR LIMIT-TO ( SUBJAREA,""ECON"" ) ) )"


Number of results : 230

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"De Oliveira, F.R.","1",,,,,,,,,"Health Surveys","2","University of California, Davis","1",,,,,,,,
,,,,"De Oliveira, J.P.","1",,,,,,,,,"Hygienism","2","Universidade Federal de Uberlândia","1",,,,,,,,
,,,,"De Sousa, R.F.","1",,,,,,,,,"Infant, Newborn","2","Universidade de Fortaleza","1",,,,,,,,
,,,,"De Souza, V.","1",,,,,,,,,"Informal Work","2","Universidade Federal do Acre","1",,,,,,,,
,,,,"Diallo, C.S.","1",,,,,,,,,"Kinship","2","Universidade de Pernambuco, Faculdade de Ciencias Medicas","1",,,,,,,,
,,,,"Dias, A.B.","1",,,,,,,,,"Labor Market","2","Universidade Federal do Tocantins","1",,,,,,,,
,,,,"Dias, L.A.","1",,,,,,,,,"Migration","2","Centre College Kentucky","1",,,,,,,,
,,,,"Domingues, C.M.A.S.","1",,,,,,,,,"Modernity","2","Universidade Federal de Juiz de Fora, Faculdade de Medicina","1",,,,,,,,
,,,,"Donalisio, M.R.","1",,,,,,,,,"Mortality","2","Universidade Vale do Rio Doce","1",,,,,,,,
,,,,"Dos Santos, E.R.A.","1",,,,,,,,,"Mozambique","2","Universidade de Pernambuco","1",,,,,,,,
,,,,"Dos Santos, M.P.A.","1",,,,,,,,,"National Identity","2","Universidade Federal de Ouro Preto","1",,,,,,,,
,,,,"Dos Santos, N.G.","1",,,,,,,,,"Nationalism","2","Universidade Federal do Rio Grande do Norte","1",,,,,,,,
,,,,"Dos Santos, P.H.C.","1",,,,,,,,,"Newborn","2","Universidade Estadual de Santa Cruz","1",,,,,,,,
,,,,"Durante, M.","1",,,,,,,,,"Periphery","2","Universidade Estadual do Norte Fluminense","1",,,,,,,,
,,,,"Dziuba, A.","1",,,,,,,,,"Pos-abolicao","2","Universidade Federal do Piauí","1",,,,,,,,
,,,,"Déus, F.R.","1",,,,,,,,,"Post-abolition","2","Universidade Federal de Goiás","1",,,,,,,,
,,,,"Eiterer, C.L.","1",,,,,,,,,"Post-emancipation","2","Universidad Complutense de Madrid","1",,,,,,,,
,,,,"Ernica, M.","1",,,,,,,,,"Psychology","2","Universidade Tecnológica Federal do Paraná","1",,,,,,,,
,,,,"Espinoza, F.","1",,,,,,,,,"Public Health","2","Universidade Estadual de Maringá","1",,,,,,,,
,,,,"Faustino, D.M.","1",,,,,,,,,"Queer Theory","2","Pontificia Universidade Catolica de Campinas","1",,,,,,,,
,,,,"Feitosa Andrade, L.","1",,,,,,,,,"Race/Color","2","Freie Universität Berlin","1",,,,,,,,
,,,,"Fernandes, C.","1",,,,,,,,,"Race/color","2","Universidad Nacional de La Plata","1",,,,,,,,
,,,,"Fernandes, F.C.G.d.M.","1",,,,,,,,,"Racial Inequality","2","University of Wisconsin-Madison","1",,,,,,,,
,,,,"Ferraro, A.R.","1",,,,,,,,,"Racial Relations","2","Centro Universitario da FEI","1",,,,,,,,
,,,,"Ferreira, A.G.T.","1",,,,,,,,,"Racializacao","2","Universidade Federal de Ciencias da Saúde de Porto Alegre","1",,,,,,,,
,,,,"Ferreira, C.","1",,,,,,,,,"Representation","2","Universidad Distrital Francisco José de Caldas","1",,,,,,,,
,,,,"Ferreira, J.T.R.","1",,,,,,,,,"STD/AIDS","2","Universidade de Coimbra, Faculdade de Economia","1",,,,,,,,
,,,,"Ferreira, L.S.","1",,,,,,,,,"Scientific Racism","2","University of Coimbra, Centre for Social Studies","1",,,,,,,,
,,,,"Ferreira, M.R.D.S.","1",,,,,,,,,"Sex","2","Universidade Federal do Sul da Bahia","1",,,,,,,,
,,,,"Fialho, C.B.","1",,,,,,,,,"Sex Factor","2","Instituto Federal de Educação, Ciência e Tecnologia do Tocantins IFTO","1",,,,,,,,
,,,,"Filho, V.C.B.","1",,,,,,,,,"Sex Factors","2","Centro Universitário das Faculdades Metropolitanas Unidas","1",,,,,,,,
,,,,"Finardi, K.","1",,,,,,,,,"Social Inequality","2",,,,,,,,,,
,,,,"Finkler, M.","1",,,,,,,,,"Social Markers Of Difference","2",,,,,,,,,,
,,,,"Flaherty-Echeverría, S.","1",,,,,,,,,"Social Movements","2",,,,,,,,,,
,,,,"Fogaça, G.","1",,,,,,,,,"Social Psychology","2",,,,,,,,,,
,,,,"Francisco, P.M.S.B.","1",,,,,,,,,"Social Support","2",,,,,,,,,,
,,,,"Franco, C.","1",,,,,,,,,"Spiritism","2",,,,,,,,,,
,,,,"França, A.P.","1",,,,,,,,,"Subalternity","2",,,,,,,,,,
,,,,"França, D.","1",,,,,,,,,"Textbook","2",,,,,,,,,,
,,,,"França, I.L.","1",,,,,,,,,"Time Factors","2",,,,,,,,,,
,,,,"Galak, E.L.","1",,,,,,,,,"Training","2",,,,,,,,,,
,,,,"Galinari, L.S.","1",,,,,,,,,"Urban Segregation","2",,,,,,,,,,
,,,,"Galvão, A.L.M.","1",,,,,,,,,"Vaccination","2",,,,,,,,,,
,,,,"Gantus-Oliveira, T.","1",,,,,,,,,"Whiteness","2",,,,,,,,,,
,,,,"Garcia, S.","1",,,,,,,,,"16th Century","1",,,,,,,,,,
,,,,"Garrido, A.","1",,,,,,,,,"17th Century","1",,,,,,,,,,
,,,,"Georgini, G.A.","1",,,,,,,,,"1946 Constituent Assembly","1",,,,,,,,,,
,,,,"Germani, A.C.C.G.","1",,,,,,,,,"19th Century","1",,,,,,,,,,
,,,,"Giacomini, S.M.","1",,,,,,,,,"""Female Talent""","1",,,,,,,,,,
,,,,"Gomes, A.C.V.","1",,,,,,,,,"""New Negro Woman""","1",,,,,,,,,,
,,,,"Gomes, D.C.","1",,,,,,,,,"""Race Woman""","1",,,,,,,,,,
