TI,AU,PY,SO
"BLACK FEMINICIDES IN BRAZILIAN LITERATURE AND SOCIETY: THE NECROPOLITICS REVERBERATED IN DEATHS MOTIVATED BY GENDER, RACE AND CULTURE; [FEMINICÍDIOS NEGROS NA LITERATURA E NA SOCIEDADE BRASILEIRAS: A NECROPOLÍTICA REVERBERADA EM MORTES MOTIVADAS POR RAÇA E CULTURA]",DA S I,2020,NAU LITERARIA
"BLACK FEMINISM: RACE, IDENTITY AND REPRODUCTIVE HEALTH IN BRAZIL (1975-1993); [FEMINISMO NEGRO: RAÇA, IDENTIDADE E SAÚDE REPRODUTIVA NO BRASIL (1975-1993)]",DAMASCO M;MAIO M;MONTEIRO S,2012,REVISTA ESTUDOS FEMINISTAS
BLACK FREEDOM AND MASTER'S AUTHORITY AT THE TIME OF ABOLITION; [O SAMBA NO SOBRADO DA BARONESA: LIBERDADE NEGRA E AUTORIDADE SENHORIAL NO TEMPO DA ABOLIÇÃO],ALBUQUERQUE W,2018,REVISTA BRASILEIRA DE HISTORIA
BLACK MOMENT IN EDUCATION: GIVING A NEW MEANING AND POLITICIZING THE RACE; [MOVIMENTO NEGRO E EDUCAÇÃO: RESSIGNIFICANDO E POLITIZANDO A RAÇA],GOMES N,2012,EDUCACAO E SOCIEDADE
"BLACK PRESS IN RIO GRANDE DO SUL: ""RACE"" AND GENDER IN THE CAMPAIGN FOR THE MONUMENT OF THE ""BLACK MOTHER"" (1920-1930); [IMPRENSA NEGRA NO RIO GRANDE DO SUL: ""RAÇA"" E GÊNERO NA CAMPANHA AO MONUMENTO DA ""MÃE PRETA"" (1920-1930)]",ZUBARAN M;GUIZZO B,2015,REVISTA DE HISTORIA REGIONAL
"BODY EDUCATION AND POLITICS: CONCEPTIONS OF RACE, HYGIENISM AND EUGENICS IN ARGENTINEAN PHYSICAL EDUCATION; [EDUCAÇÃO DO CORPO E POLÍTICA: CONCEPÇÕES DE RAÇA, EUGENIA E HIGIENE NA EDUCAÇÃO FÍSICA ARGENTINA]; [EDUCACIÓN DEL CUERPO Y POLÍTICA: CONCEPCIONES DE RAZA, HIGIENISMO Y EUGENESIA EN LA EDUCACIÓN FÍSICA ARGENTINA]",GALAK E,2014,MOVIMENTO
"BOTH RESISTANCE AS SURRENDER: RACE, SLAVERY AND POST-EMANCIPATION WITHIN THE AFRO-BRAZILIAN RELIGIONS.; [TANTO RESISTÊNCIA QUANTO RENDIÇÃO: RAÇA, ESCRAVIDÃO E PÓS-EMANCIPAÇÃO NAS RELIGIÕES DE MATRIZ AFRICANA.]; [RESISTENCIA Y RENDICIÓN: RAZA, ESCLAVITUD Y POST-EMANCIPACIÓN EN LAS RELIGIONES AFROBRASILEÑAS.]",DE C B J,2021,DIALOGOS
BRAZILIAN PORTRAIT: RACE AND INSTRUCTION IN DEMOGRAPHIC CENSUS OF NINETEEN CENTURY; [RETRATOS DO BRASIL: RAÇA E INSTRUÇÃO NOS CENSOS POPULACIONAIS DO SÉCULO XIX],GOUVÊA M;XAVIER A,2013,EDUCACAO E SOCIEDADE
"BULLYING IN PUBLIC AND PRIVATE SCHOOLS: THE EFFECTS OF GENDER, RACE, AND SOCIOECONOMIC STATUS; [BULLYING NAS ESCOLAS PÚBLICAS E PRIVADAS: OS EFEITOS DE GÊNERO, RAÇA E NÍVEL SOCIOECONÔMICO]",SANTANA E S C;VILELA E;DE O V,2024,EDUCACAO E PESQUISA
"CABELOS AMBÍGUOS: BELEZA, PODER DE COMPRA E ""RAÇA"" NO BRASIL URBANO",MIZRAHI M,2015,REVISTA BRASILEIRA DE CIENCIAS SOCIAIS
"CENSORED SOCIOLOGY: RACE, CLASS AND SOCIAL SCIENCE RESEARCH IN THE BRAZILIAN MILITARY DICTATORSHIP (1971-1977); [A SOCIOLOGIA CENSURADA: RAÇA, CLASSE E A PESQUISA EM CIÊNCIAS SOCIAIS NA DITADURA MILITAR BRASILEIRA (1971-1977)]",TRAPP R,2021,REVISTA DE HISTORIA (BRAZIL)
"CHARLES BOXER AND THE CHURCH MILITANT: RACE, MISSIONARY ACTIVITIES AND EMPIRE IN THE IBERIAN EXPANSION IN THE 16TH AND 17TH CENTURIES; [CHARLES BOXER E A IGREJA MILITANTE: RAÇA, MISSIONAÇÃO E IMPÉRIO NA EXPANSÃO IBÉRICA DOS SÉCULOS XVI E XVII]",SCHNEIDER A,2019,PROJETO HISTORIA
"CLASS, RACE AND ACCESS TO SUPERIOR EDUCATION; [CLASSE, RAÇA E ACESSO AO ENSINO SUPERIOR NO BRASIL]",OSORIO R,2009,CADERNOS DE PESQUISA
"CLASS, RACE AND GENDER RELATIONS IN THE CONSTITUTION OF INTELLECTUAL DISABILITY; [AS RELAÇÕES DE CLASSE, RAÇA E GÊNERO NA CONSTITUIÇÃO DA DEFI-CIÊNCIA INTELECTUAL]",BUENO J;DOS S N,2021,EDUCACAO AND REALIDADE
"CLASS, RACE AND THE SOCIAL HISTORY OF LABOR IN BRAZIL (2001-2016); [CLASSE, RAÇA E A HISTÓRIA SOCIAL DO TRABALHO NO BRASIL (2001-2016)]",POPINIGIS F;TERRA P,2019,ESTUDOS HISTORICOS
CLEANING UP THE RACE THROUGH THE HANDS OF RURALIST EDUCATION: THE CASE OF THE BUTANTAN RURAL SCHOOL GROUP IN THE 1930S; [HIGIENIZANDO A RAÇA PELAS MÃOS DA EDUCAÇÃO RURALISTA: O CASO DO GRUPO ESCOLAR RURAL DO BUTANTAN EM 1930],MOTA A,2010,"INTERFACE: COMMUNICATION, HEALTH, EDUCATION"
COLONIALITY WITHIN THE PERSPECTIVE OF THE INTERSECTIONALITY OF RACE AND GENDER: AN ANALYSIS OF THE CASE OF DOMESTIC WORKERS IN BRAZIL; [A COLONIALIDADE DO PODER NA PERSPECTIVA DA INTERSECCIONALIDADE DE RAÇA E GÊNERO: ANÁLISE DO CASO DAS EMPREGADAS DOMÉSTICAS NO BRASIL],DE E C V A D;TEODORO M,2020,REVISTA BRASILEIRA DE POLITICAS PUBLICAS
