TI,AU,PY,SO
"PSYCHOSOCIAL ANALYSIS OF THE MIGRATORY PROCESS OF HAITIAN MEN AND WOMEN TO BRAZIL: AN INTERSECTIONAL PERSPECTIVE OF RACE-ETHNICITY, GENDER, AND AGE; [ANÁLISE PSICOSSOCIAL DO PROCESSO MIGRATÓRIO DE HAITIANOS(AS) AO BRASIL: UMA PERSPECTIVA INTERSECCIONAL DE RAÇA-ETNIA, GÊNERO E IDADE]",CONTE G P;PIZZINATO A,2023,REVISTA INTERDISCIPLINAR DA MOBILIDADE HUMANA
PUBLIC POLICIES FOR GENDER AND RACE ARTICULATION: WAYS TO ENSURE THE POLITICAL AND LEGAL REPRESENTATIVENESS FOR BRAZILIAN BLACK WOMEN; [POLÍTICAS PÚBLICAS PARA A ARTICULAÇÃO DE GÊNERO E RAÇA: MEIOS PARA GARANTIR A REPRESENTATIVIDADE POLÍTICA E JURÍDICA DA MULHER NEGRA NO BRASIL],DE A M;DE C P E,2020,REVISTA BRASILEIRA DE POLITICAS PUBLICAS
QUESTIONS RELATED TO RACE IN THE STRUGGLE AGAINST GENDER VIOLENCE: SUBALTERNITY PROCESSES RELATED TO THE MARIA DA PENHA LAW; [QUESTÕES DE RAÇA NA LUTA CONTRA A VIOLÊNCIA DE GÊNERO: PROCESSOS DE SUBALTERNIZAÇÃO EM TORNO DA LEI MARIA DA PENHA],BERNARDES M,2021,REVISTA DIREITO GV
RACA: PUBLIC DEBATE IN BRAZIL (1997-2007),TRAPP R,2012,CONFLUENZE-RIVISTA DI STUDI IBEROAMERICANI
RACE AND CIVILITY IN “BLACK X WHITE” MATCHES; [RAÇA E CIVILIDADE NOS JOGOS “PRETO X BRANCO”]; [RAZA Y CIVILIDAD EN LOS JUEGOS “BLANCO VS. NEGRO”],ABRAHÃO B;SOARES A,2016,MOVIMENTO
"RACE AND COLOR IN CONTEMPORARY BRAZIL, POLITICAL OPPORTUNITY AND HISTORICAL TENDENCY; [RAÇA E COR NO BRASIL CONTEMPORÂNEO, OPORTUNISMO POLÍTICO E TENDÊNCIA HISTÓRICA]",GUIMARÃES A,2024,REVISTA DE ANTROPOLOGIA
RACE AND CULTURE IN CLASSICAL ANTHROPOLOGICAL THOUGHT; [RAÇA E CULTURA NO PENSAMENTO ANTROPOLÓGICO CLÁSSICO],PETSCHELIES E,2024,REVISTA BRASILEIRA DE HISTORIA
RACE AND ESSENTIALISM IN FEMINIST LEGAL THEORY; [RAÇA E ESSENCIALISMO NA TEORIA FEMINISTA DO DIREITO],HARRIS A;DE C D M G T;CONCEIÇÃO Í,2020,REVISTA BRASILEIRA DE POLITICAS PUBLICAS
RACE AND GENDER IN THE COURSE OF LIVES OF QUILOMBOLAS WOMEN; [RAÇA E GÊNERO NA CONSTRUÇÃO DE TRAJETÓRIAS DE MULHERES QUILOMBOLAS],FERREIRA M;EITERER C;DE M S,2020,REVISTA ESTUDOS FEMINISTAS
RACE AND GENDER IN THE MAGAZINE ON GUARD FOR THE DEFENSE OF THE AMERICAS. THE UNITED STATES BRAZILIANS MUST SEE; [RAÇA E GÊNERO NA REVISTA EM GUARDA PARA A DEFESA DAS AMÉRICAS. OS ESTADOS UNIDOS QUE OS BRASILEIROS DEVEM VER],DE N M T,2019,HISTORIA UNISINOS
RACE AND LAND: IMPLICATIONS OF LAND-BASED RACISM ON URBAN SEGREGATION IN FORTALEZA-CE; [RAÇA E TERRA: IMPLICAÇÕES DO RACISMO FUNDIÁRIO NA SEGREGAÇÃO URBANA EM FORTALEZA-CE],CRISTIELLEN R R M;QUEZADO C L M,2024,URBE
"RACE AND MODERNITY IN FORMAÇÃO DO BRASIL CONTEMPORÂNEO BY CAIO PRADO JR.; [RAÇA E MODERNIDADE EM FORMAÇÃO DO BRASIL CONTEMPORÂNEO, DE CAIO PRADO JR.]",DE M A,2020,REVISTA BRASILEIRA DE CIENCIAS SOCIAIS
RACE AND OBESITY IN THE BLACK FEMALE POPULATION: A SCOPING REVIEW; [RAÇA E OBESIDADE NA POPULAÇÃO FEMININA NEGRA: UMA REVISÃO DE ESCOPO],ORAKA C;FAUSTINO D;OLIVEIRA E;TEIXEIRA J;DE S A;LUIZ O,2020,SAUDE E SOCIEDADE
"RACE AND RACISM, JUNCTIONS AND DISJUNCTIONS; [RAÇAS E RACISMOS, JUNÇÕES E DISJUNÇÕES]",GUIMARÃES A,2024,TEMPO SOCIAL
"RACE AND RACISM: CONCEPTUAL, HISTORICAL, AND METHODOLOGICAL ASPECTS FOR ANTI-RACIST RESEARCH IN HEALTH; [RAÇA E RACISMO: ASPECTOS CONCEITUAIS, HISTÓRICOS E METODOLÓGICOS PARA PESQUISAS ANTIRRACISTAS EM SAÚDE]",CUNHA R;LEITE I;NOGUEIRA M;DA C D,2024,SAUDE E SOCIEDADE
RACE AND REINCARNATION IN NORTH AMERICAN SPIRITUALISM: A VIEW BASED ON ALLAN KARDEC'S CRITICISM (1857-1869); [RAÇA E REENCARNAÇÃO NO ESPIRITUALISMO NORTE-AMERICANO: UMA VISÃO A PARTIR DA CRÍTICA DE ALLAN KARDEC (1857-1869)]; [RAZA Y REENCARNACIÓN EN EL ESPIRITISMO NORTEAMERICANO: UNA VISIÓN BASADA EN LA CRÍTICA DE ALLAN KARDEC (1857- 1869)],DE S R;PIMENTEL M,2021,DIALOGOS
"RACE AND SLAVERY IN MEMOIRS AND NOVELS: BRAZIL, C. 1820-1870; [RAÇA E ESCRAVIDÃO EM MEMÓRIAS E ROMANCES: BRASIL, C.1820-1870]",RAMINELLI R,2023,ALMANACK
RACE RELATIONS AND FAVELA WORKERS’ MOVEMENT IN BELO HORIZONTE THE FORMATION OF CLASS AND RACE CONSCIOUSNESS WITHIN URBAN POLITICS (1959-1964); [RELAÇÕES RACIAIS E O MOVIMENTO DE TRABALHADORES FAVELADOS DE BELO HORIZONTE A FORMAÇÃO DE UMA CONSCIÊNCIA DE CLASSE E RAÇA NA POLÍTICA URBANA (1959-1964)],DE O S,2022,VARIA HISTORIA
"RACE, CLASS AND CULTURE IN THE CONTEXT OF AFFIRMATIVE ACTION: A THEORETICAL CRITICAL EFFORT ON RACE; [RAÇA, CLASSE E CULTURA NO CONTEXTO DAS POLÍTICAS DE AÇÃO AFIRMATIVA: UM ESFORÇO TEÓRICOCRÍTICO A RESPEITO DA RAÇA]",TAVOLARO L,2010,SOCIEDADE E CULTURA
"RACE, CLASS AND INCOME INEQUALITY IN BRAZIL: A SOCIAL TRAJECTORY ANALYSIS; [RACE, CLASSE ET INÉGALITÉ DES REVENUS AU BRÉSIL: UNE ANALYSE DE LA TRAJECTOIRE SOCIAL]; [RAÇA, CLASSE E DESIGUALDADE DE RENDIMENTOS NO BRASIL: UMA ANÁLISE DE TRAJETÓRIA SOCIAL]; [RAZA, CLASE Y DESIGUALDAD DE INGRESOS EN BRASIL: UN ANÁLISIS DE TRAYECTORIA SOCIAL]",SALATA A,2020,DADOS
"RACE, COLOR AND ETHNICITY IN EPIDEMIOLOGIC STUDIES CARRIED OUT WITH BRAZILIAN POPULATIONS: SYSTEMATIC REVIEW ON THE PUBMED DATABASE; [RAÇA, COR E ETNIA EM ESTUDOS EPIDEMIOLÓGICOS: SOBRE POPULAÇÕES BRASILEIRAS: REVISÃO SISTEMÁTICA NA BASE PUBMED]",KABAD J;BASTOS J;SANTOS R,2012,PHYSIS
"RACE, CORPORALITY AND SUBJECTIVITY IN BEATRIZ NASCIMENTO AND EDUARDO DE OLIVEIRA E OLIVEIRA; [RAÇA, CORPOREIDADE E SUBJETIVIDADE EM BEATRIZ NASCIMENTO E EDUARDO DE OLIVEIRA E OLIVEIRA]",TRAPP R,2023,HISTORIA DA HISTORIOGRAFIA
"RACE, INFORMAL EMPLOYMENT AND INFORMALIZATION: A HISTORICAL PERSPECTIVE ON WORK IN CONTEMPORARY BRAZIL; [RAÇA, EMPREGO INFORMAL E INFORMALIZAÇÃO UMA PERSPECTIVA HISTÓRICA DO TRABALHO NO BRASIL CONTEMPORÂNEO]",ZULLO G;ALMEIDA P,2024,NOVOS ESTUDOS CEBRAP
"RACE, INTERBREEDING AND SOCIO-RACIAL DESIGNATIONS IN THE NOVEL O MULATO BY ALUÍSIO AZEVEDO (1850-1881); [RAÇA, MESTIÇAGEM E DESIGNAÇÕES SOCIORRACIAIS NO ROMANCE O MULATO, DE ALUÍSIO AZEVEDO (1850-1881)]",PRECIOSO D,2019,ESBOCOS
"RACE, NATION AND PATRIA SPANISHNESS IN MOTION; [RAÇA, NAÇÃO E PÁTRIA A ESPANHOLIDADE EM MOVIMENTO]",BILBAO J,2019,VARIA HISTORIA
"RACE, SEXUALITY AND ILLNESS IN MOZAMBIQUE; [RAÇA, SEXUALIDADE E DOENÇA EM MOÇAMBIQUE]",PASSADOR L;THOMAZ O,2006,REVISTA ESTUDOS FEMINISTAS
RACIAL FLUIDITY IN THE METROPOLITAN REGION OF BELO HORIZONTE: INDIVIDUAL CHARACTERISTICS AND LOCAL CONTEXT IN THE CONSTRUCTION OF RACE; [FLUIDEZ RACIAL NA REGIÃO METROPOLITANA DE BELO HORIZONTE: CARACTERÍSTICAS INDIVIDUAIS E CONTEXTO LOCAL NA CONSTRUÇÃO DA RAÇA]; [FLUIDEZ RACIAL EN LA REGIÓN METROPOLITANA DE BELO HORIZONTE: CARACTERÍSTICAS INDIVIDUALES Y CONTEXTO LOCAL EN LA CONSTRUCCIÓN DE LA RAZA],SILVEIRA L;TOMAS M,2019,REVISTA BRASILEIRA DE ESTUDOS DE POPULACAO
RACIAL SELF-AFFIRMATION OF BLACK YOUNG PEOPLE FROM LAW N. 10.639/2003: PATHWAYS TO GENDER AND RACE EQUITY IN INTERSECTIONAL CONTEXT; [AUTOAFIRMAÇÃO RACIAL DE JOVENS NEGRAS NO PROJETO ABAETÊ CRIOLO: CAMINHOS PARA A EQUIDADE DE GÊNERO E DE RAÇA EM CONTEXTOS INTERSECCIONAIS A PARTIR DA LEI N. 10.639/2003],DE O D;COSTA T,2022,REVISTA DIREITO GV
"RACISM IN BRAZIL: FROM HYPOTHESIS TO PREMISE, WITHOUT EVER BECOMING AN OBJECT; [RACISMO NO BRASIL: DE HIPÓTESE À PREMISSA, SEM PASSAR POR OBJETO]",CAMPOS L,2024,TEMPO SOCIAL
RAILROAD AND MEMORY: THE COMPANHIA PAULISTA UNDER THE CRITERIA OF RACE AND CLASS BETWEEN 1930 AND 1970; [FERROVIA E MEMÓRIA: A COMPANHIA PAULISTA PELO CRIVO DE RAÇA E CLASSE ENTRE 1930 E 1970]; [FERROCARRIL Y MEMORIA: LA COMPANHIA PAULISTA BAJO EL CRITERIO DE RAZA Y CLASE ENTRE 1930 Y 1970],FERREIRA L,2022,HISTORIA CRITICA
RAÇA E GÊNERO NA PERSPECTIVA DOS PENSAMENTOS DE MULHERES NEGRAS,OLIVEIRA F;MEINERZ C,2019,CURRICULO SEM FRONTEIRAS
REASONS FOR BANISHING THE CONCEPT OF RACE FROM BRAZILIAN MEDICINE; [RAZÕES PARA BANIR O CONCEITO DE RAÇA DE MEDICINA BRASILEIRA.],PENA S,2005,"HISTÓRIA, CIÊNCIAS, SAÚDE--MANGUINHOS"
RECLAIMING PRESENCE: ANTI-GENDER NATIONALISM AND MARIELLE FRANCO’S DEICTIC FIELD OF RESISTANCE IN BRAZIL,SILVA D;DZIUBA A,2023,GENDER AND LANGUAGE
REFLECTIONS ON THE COLLECTION OF THE ISSUE OF RACE/ COLOR IN THE BASIC CARE (SUS) IN THE SOUTH OF BRAZIL; [REFLEXÕES SOBRE A COLETA DO QUESITO RAÇA/COR NA ATENÇÃO BÁSICA (SUS) NO SUL DO BRASIL],SILVEIRA R;ROSA R;FOGAÇA G;SANTOS L;NARDI H;ALVES M;BAIRROS F,2021,SAUDE E SOCIEDADE
RELIGIONS AND RELIGIOSITIES IN THE TALES OF GEOVANI MARTINS,DA S M,2022,HUMANIDADES & INOVACAO
"RESIDENTIAL SEGREGATION BY RACE AND CLASS IN FORTALEZA, SALVADOR AND SÃO PAULO; [SÉGRÉGATION RÉSIDENTIELLE PAR RACE ET CLASSE À FORTALEZA, SALVADOR ET SÃO PAULO]; [SEGREGAÇÃO RESIDENCIAL POR RAÇA E CLASSE EM FORTALEZA, SALVADOR E SÃO PAULO]",FRANÇA D,2022,CADERNO CRH
"REVISITING THE HISTORY OF DIFFERENCES AND INEQUALITIES: NOTES ABOUT GENDER, SLAVERY, RACE AND POS-EMANCIPATION; [HISTÓRIAS DAS DIFERENÇAS E DAS DESIGUALDADES REVISITADAS: NOTAS SOBRE GÊNERO, ESCRAVIDÃO, RAÇA E PÓS-EMANCIPAÇÃO]",PAIXÃO M;GOMES F,2008,REVISTA ESTUDOS FEMINISTAS
RIDICULOUS INCOHERENCE?: RACE AND SLAVERY IN THE COURT’S ILLUSTRATED PRESS – 1884-1886; [RIDÍCULA INCOERÊNCIA?: RAÇA E ESCRAVIDÃO NA IMPRENSA ILUSTRADA DA CORTE – 1884-1886],BALABAN M,2022,REVISTA BRASILEIRA DE HISTORIA
"SCHOOLING IN BRAZIL: ARTICULATING THE PERSPECTIVES OF GENDER, RACE, AND SOCIAL CLASS; [ESCOLARIZAÇÃO NO BRASIL: ARTICULANDO AS PERSPECTIVAS DE GÊNERO, RAÇA E CLASSE SOCIAL]",FERRARO A,2010,EDUCACAO E PESQUISA
"SCIENCE, GENDER, AND RACE IN CONVERSATIONS ABOUT HIDDEN FIGURES; [CIÊNCIA, GÊNERO E RAÇA NAS CONVERSAÇÕES SOBRE ESTRELAS ALÉM DO TEMPO]; [CIENCIA, GÉNERO Y RAZA EN CONVERSACIONES SOBRE FIGURAS OCULTAS]",MASSARANI L;WALTZ I;LEAL T;MEDEIROS A,2023,REVISTA ESTUDOS FEMINISTAS
"SCIENCE, RACE AND EUGENICS IN THE SECOND HALF OF THE 20TH CENTURY: NEW OBJECTS AND NEW TEMPORALITY IN AN INTERNATIONAL PANORAMA; [CIÊNCIA, RAÇA E EUGENIA NA SEGUNDA METADE DO SÉCULO XX: NOVOS OBJETOS E NOVA TEMPORALIDADE EM UM PANORAMA INTERNACIONAL]",GOMES A;WEGNER R;DE S V,2017,VARIA HISTORIA
SCIENTIFIC PRODUCTION ON PUBLIC POLICIES IN PHYSICAL EDUCATION: APPROACHES ON GENDER AND RACE; [PRODUÇÃO CIENTÍFICA SOBRE POLÍTICAS PÚBLICAS PARA A EDUCAÇÃO FÍSICA: ABORDAGEM SOBRE GÊNERO E RAÇA],MONTEIRO R;MOURÃO L;VOTRE S,2012,REVISTA DA EDUCACAO FISICA
SELF-DECLARATION OF RACE AND/OR SKIN COLOR AMONG PUPILS FROM THE CITY OF SÃO PAULO; [AUTODECLARAÇÃO DE COR E/OU RAÇA ENTRE ESCOLARES PAULISTANOS(AS)],DA R E;ROSEMBERG F,2007,CADERNOS DE PESQUISA
"SOCCER, RACE AND NATIONAL IDENTITY: AN ANALYSIS ABOUT THE PERFORMANCE OF PLAYERS IN BLACK X WHITE GAMES; [FUTEBOL, RAÇA E IDENTIDADE NACIONAL: UMA ANÁLISE DO DESEMPENHO DOS JOGADORES NOS JOGOS PRETO X BRANCO]",ABRAHÃO B;SOARES A,2017,REVISTA BRASILEIRA DE CIENCIAS DO ESPORTE
SOCIAL ORIGIN AND RISK OF SCHOOL FAILURE: RACE-ECONOMIC CAPITAL; [ORIGEM SOCIAL E RISCO DE REPETÊNCIA: INTERAÇÃO RAÇA-CAPITAL ECONÔMICO],ALVES F;ORTIGÃO I;FRANCO C,2007,CADERNOS DE PESQUISA
SPEECHES OF BLACK IN BAIANO CANDOMBLE: WHEN THE RACE IS IMPORTANT AND WHEN THE RACE DOES NOT MATTER; [VOZES NEGRAS NO CANDOMBLÉ BAIANO: QUANDO A RAÇA IMPORTA E QUANDO A RAÇA NÃO IMPORTA],LIMA A;ALVES N,2013,NAU LITERARIA
STATE VIOLENCE AND RACISM: SOME THEORETICAL-METHODOLOGICAL DISCUSSIONS,VINUTO J;RAMOS P,2024,CONTEMPORANEA-REVISTA DE SOCIOLOGIA DA UFSCAR
"STRUCTURAL DETERMINANTS OF HEALTH, RACE, GENDER, AND SOCIAL CLASS: A SCOPE REVIEW; [DETERMINANTES ESTRUTURAIS DA SAÚDE, RAÇA, GÊNERO E CLASSE SOCIAL: UMA REVISÃO DE ESCOPO]",GALVÃO A;OLIVEIRA E;GERMANI A;LUIZ O,2021,SAUDE E SOCIEDADE
"STUDIES AND RESEARCH ON EDUCATION, RACE, GENDER, AND SEXUAL DIVERSITY; [STUDOS E PESQUISAS SOBRE EDUCAÇÃO, RAÇA, GÊNERO, E DIVERSIDADE SEXUAL]; [ESTUDIOS E INVESTIGACIONES SOBRE EDUCACIÓN, RAZA, GÉNERO Y DIVERSIDADE SEXUAL]",GOMES N,2023,EDUCACAO E SOCIEDADE
"SURVIVAL OF PATIENTS WITH AIDS AND ASSOCIATION WITH LEVEL OF EDUCATION LEVEL AND RACE/SKIN COLOR IN SOUTH AND SOUTHEAST BRAZIL: A COHORT STUDY, 1998-1999; [SOBREVIDA DE PACIENTES CON SIDA Y ASOCIACIÓN CON ESCOLARIDAD Y RAZA/COLOR DE LA PIEL EN EL SUR Y SUDESTE DE BRASIL: ESTUDIO DE COHORTE DE 1998-1999]; [SOBREVIDA DE PACIENTES COM AIDS E ASSOCIAÇÃO COM ESCOLARIDADE E RAÇA/COR DA PELE NO SUL E SUDESTE DO BRASIL: ESTUDO DE COORTE, 1998-1999]",DE M M;MESQUITA F;DE A B M;LA-ROTTA E;DONALISIO M,2019,EPIDEMIOLOGIA E SERVICOS DE SAUDE
"THE ""BLACK CORISCO"": CANGAÇO, RACE AND BANDITRY IN THE BRAZILIAN NORTHEASTERN REGION; [O ""CORISCO PRETO"": CANGAÇO, RAÇA E BANDITISMO NO NORDESTE BRASILEIRO]",DOMINGUES P,2017,REVISTA DE HISTORIA
"THE ""CENTENARY CHAMPION"": RACE AND NATION IN SÃO PAULO SOCCER; [O ""CAMPEÃO DO CENTENÁRIO"": RAÇA E NAÇÃO NO FUTEBOL PAULISTA]",DOMINGUES P,2015,HISTORIA UNISINOS
THE BLACK POPULATION AND THE RIGHT TO THE CITY: INTERFACES BETWEEN RACE AND URBAN SPACE IN BRAZIL; [POPULAÇÃO NEGRA E O DIREITO À CIDADE INTERFACES ENTRE RAÇA E ESPAÇO URBANO NO BRASIL]; [POBLACIÓN NEGRA Y EL DERECHO A LA CIUDAD: INTERFACES ENTRE RAZA Y ESPACIO URBANO EN BRASIL],PANTA M,2020,ACERVO
"THE BRAZIL OF RACIAL MYTHOLOGY: EUGENICS, RACISM, AND NATIONAL UTOPIAS IN BRAZILIAN MODERNISM IN THE 1920S; [O BRASIL DA MITOLOGIA RACIAL: EUGENIA, RACISMO E UTOPIAS NACIONAIS NO MODERNISMO BRASILEIRO DOS ANOS 1920]",SOUZA V,2024,HISTORIA (BRAZIL)
THE HAPPY ENDING AT THE CROSSROADS OF GENDER AND RACE: A STUDY OF THE RECEPTION OF THE FILM BENDITO FRUTO; [O FINAL FELIZ NA ENCRUZILHADA DE GÊNERO E RAÇA: UM ESTUDO DE RECEPÇÃO DO FILME BENDITO FRUTO],FERREIRA C,2023,COMUNICACAO MIDIA E CONSUMO
THE HISTORY OF THE BRAZILIAN UNIVERSITY POPULATION: CLASS AND RACE ASPECTS; [A TRAJETÓRIA DA POPULAÇÃO UNIVERSITÁRIA BRASILEIRA: UMA QUESTÃO DE RAÇA E CLASSE],MAIA G;ARAÚJO R;OLIVEIRA S,2021,REVISTA DE DIREITO
THE IDENTITY OF THE “COSMIC RACE”: THE EXPERIENCE OF EUGENICS IN MEXICO; [A IDENTIDADE DA “RAÇA CÓSMICA”: A EXPERIÊNCIA DA EUGENIA NO MÉXICO],DE C L,2016,"HISTORIA, CIENCIAS, SAUDE - MANGUINHOS"
THE INDETERMINATE QUESTION OF RACE; [A INDETERMINADA QUESTÃO DA RAÇA],KODAMA K,2012,"HISTORIA, CIENCIAS, SAUDE - MANGUINHOS"
THE LEPROSY PROPHYLACTIC MAKING IN BRAZIL OF VARGAS: ISOLATION AND LEGITIMATION OF PUBLIC HEALTH POLICIES,DUCATTI I;SOUZA T,2017,CORDIS-REVISTA ELETRONICA DE HISTORIA SOCIAL DA CIDADE
THE MASKS OF OPPRESSION – NEW READINGS OF THE RELATIONSHIP BETWEEN RACE AND CLASS; [AS MÁSCARAS DA OPRESSÃO – NOVAS LEITURAS DA RELAÇÃO RAÇA E CLASSE],COLOMBINI I,2023,LUA NOVA
THE MONK AND THE ETHIOPIAN DEMON: RACE AND DISCRETIO IN JOHN CASSIAN'S COLLATIONES PATRUM (426-428); [O MONGE E O DEMÔNIO ETÍOPE: RAÇA E DISCRETIO NAS COLLATIONES PATRUM DE JOÃO CASSIANO (426-428)],BORGONGINO B,2021,TOPOI (BRAZIL)
THE OBSTETRIC VIOLENCE AND CHALLENGES TO PROMOTE EFFECTIVE PUBLIC HEALTH POLICIES,MOREIRA S;PARTICHELLI P;BAZANI A,2019,DIALOGO
"THE PERIPHERY IN CONCEIÇÃO EVARISTO AND ESMERALDA RIBEIRO: GENDER, RACE AND CLASS; [A PERIFERIA EM CONCEIÇÃO EVARISTO E ESMERALDA RIBEIRO: QUESTÕES DE GÊNERO, RAÇA E CLASSE]",PEREIRA R,2016,ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORANEA
THE PROCESS OF INSTITUTIONALIZATION OF THE DISCIPLINE WORK- EDUCATION IN THE PEDAGOGY TRAINING POLICIES IN THE PUBLIC UNIVERSITIES OF RIO DE JANEIRO,VIEIRA J;GUIMARAES A;VIEIRA A,2019,REVISTA IBERO-AMERICANA DE ESTUDOS EM EDUCACAO
THE RACE/COLOR VARIABLE IN STUDIES OF CHARACTERIZATION OF THE USERS OF PSYCHOSOCIAL CARE CENTERS; [O QUESITO RAÇA/COR NOS ESTUDOS DE CARACTERIZAÇÃO DE USUÁRIOS DE CENTRO DE ATENÇÃO PSICOSSOCIAL],SILVA N;BARROS S;DE A F;BATISTA L;POLICARPO V,2017,SAUDE E SOCIEDADE
THE SONS OF CAIM: THE RACE OF OUTCASTS AND DISINHERITED IN WALTER BENJAMIN AND CHARLES BAUDELAIRE; [OS FILHOS DE CAIM: A RAÇA DOS PROSCRITOS E DESERDADOS EM WALTER BENJAMIN E CHARLES BAUDELAIRE],MARTINS R,2014,ACTA SCIENTIARUM LANGUAGE AND CULTURE
"THE SPIRIT UNDERNEATH: DEVELOPMENT, RACE AND MORAL ECONOMY IN CENTRAL MOZAMBIQUE; [O ESPÍRITO LATENTE: DESENVOLVIMENTO, RAÇA E ECONOMIA MORAL NO CENTRO DE MOÇAMBIQUE]",DE A I,2019,VIBRANT VIRTUAL BRAZILIAN ANTHROPOLOGY
THE UNDERSTANDING AND DENUNCIATION OF RACIAL VIOLENCE AS GENOCIDE OF THE BLACK POPULATION,FREITAS M,2020,SIMBIOTICA
THE UNSAID IN ETHNOGRAPHIES ABOUT BRAZILIANS IN IRELAND: EUPHEMISMS AND DISPLACEMENTS OF RACE; [O NÃO DITO NAS ETNOGRAFIAS SOBRE BRASILEIROS NA IRLANDA: EUFEMISMOS E DESLOCAMENTOS DE RAÇA],MACHADO I,2024,REVISTA DE ANTROPOLOGIA
THE USE OF THE VARIABLE OF RACE/COLOR WITHIN PUBLIC HEALTH: POSSIBILITIES AND LIMITS; [A UTILIZAÇÃO DA VARIÁVEL RAÇA/COR EM SAÚDE PÚBLICA: POSSIBILIDADES E LIMITES],DE A E;DA C M;HOGAN V;DE A T;DIAS A;OLIVEIRA L,2009,"INTERFACE: COMMUNICATION, HEALTH, EDUCATION"
"THE “POST-COLONIAL” IN ACHILLE MBEMBE AND THE RENEWAL OF HISTORICAL NARRATIVES ABOUT MODERNITY: DIVISIONS AND INTERSECTIONS BETWEEN RACE, CLASS AND GENDER; [O “PÓS-COLONIAL” EM ACHILLE MBEMBE E A RENOVAÇÃO DAS NARRATIVAS HISTÓRICAS SOBRE A MODERNIDADE: CISÕES E INTERSEÇÕES ENTRE RAÇA, CLASSE E GÊNERO]",MARIZ S;VASCONCELOS F,2021,ANOS 90
"THIS ""MAGNANIMOUS VOLITION"": THE COLORED MEN FEDERATIO; [ESTA ""MAGNÂNIMA VOLIÇÃO"": A FEDERAÇÃO DOS HOMENS DE COR]",DOMINGUES P,2018,HISTORIA (BRAZIL)
THREE THESES ABOUT HOME ECONOMICS IN BRAZIL: ELEMENTS FOR A HISTORICAL INTERPRETATION (1952-2020),CARLOS J,2020,CADERNOS DE HISTORIA
TO SELF PRODUCE BLACK AT BRAZIL: A STUDY OF THE DIDATIC AND PEDAGOGICAL DEVICES PRESENT IN RACA BRASIL MAGAZINE,VITORINO A;MONTANARI P,2014,ETD EDUCACAO TEMATICA DIGITAL
TOMANDO A PALAVRA: HELENA NOGUEIRA E O FALAR COMO CONQUISTA POLÍTICA E PSICOLÓGICA,AFONSO M,2024,ESTUDOS AVANCADOS
TOWARD A SOCIOLOGY OF RACISM; [POR UMA SOCIOLOGIA DO RACISMO],GUIMARÃES A;CAMPOS L;GATO M,2024,TEMPO SOCIAL
TRABALHO RURAL: AS MARCAS DA RAÇA; [RURAL WORK: THE MARKS OF RACE],SILVA M,2016,LUA NOVA
"TREND OF INCOMPLETENESS OF MATERNAL SCHOOLING AND RACE/SKIN COLOR VARIABLES HELD ON THE BRAZILIAN LIVE BIRTH INFORMATION SYSTEM, 2012-2020; [TENDÊNCIA DA INCOMPLETUDE DAS VARIÁVEIS ESCOLARIDADE E RAÇA/COR DA PELE DA MÃE NO SISTEMA DE INFORMAÇÕES SOBRE NASCIDOS VIVOS DO BRASIL, 2012-2020]; [TENDENCIA DE INCOMPLETITUD DE LAS VARIABLES ESCOLARIDAD Y RAZA/COLOR DE PIEL MATERNO EN EL SISTEMA DE INFORMACIÓN SOBRE NACIDOS VIVOS EN BRASIL, 2012-2020]",SANTANA B;ANDRADE A;MURARO A,2023,EPIDEMIOLOGIA E SERVICOS DE SAUDE
UNDER THE AXÉ OF IEMANJÁ: INTERSECTIONALITY AS A NEW FORM FOR THE RELATIONSHIP BETWEEN RACE AND GENDER IN LAW; [SOB O AXÉ DE IEMANJÁ: A INTERSECCIONALIDADE COMO UMA NOVA FORMA PARA AS RELAÇÕES ENTRE RAÇA E GÊNERO NO DIREITO],TERRA B;DA L C,2022,REVISTA ELETRONICA DIREITO E SOCIEDADE
"URBAN INFORMALITY, WORKING CLASS AND RACE IN RIO DE JANEIRO: THE HISTORY OF FAVELA CENSUS (1948-1960); [INFORMALIDADE URBANA, CLASSE TRABALHADORA E RAÇA NO RIO DE JANEIRO: A HISTÓRIA DOS CENSOS DE FAVELAS (1948-1960)]",DE O S,2021,REVISTA DE HISTORIA (BRAZIL)
"USE OF PSYCHOTROPIC MEDICATIONS IN ADULTS AND ELDERLY LIVING IN CAMPINAS, SÃO PAULO, BRAZIL: CROSS-SECTIONAL POPULATION-BASED STUDY; [USO DE MEDICAMENTOS PSICOTRÓPICOS EM ADULTOS E IDOSOS RESIDENTES EM CAMPINAS, SÃO PAULO: UM ESTUDO TRANSVERSAL DE BASE POPULACIONAL]",PRADO M;FRANCISCO P;BARROS M,2017,EPIDEMIOLOGIA E SERVICOS DE SAUDE : REVISTA DO SISTEMA UNICO DE SAUDE DO BRASIL
