"";"X";"V1"
"626";626;1
"627";627;1
"628";628;1
"629";629;1
"630";630;2
"631";631;3
"632";632;3
"633";633;0
"634";634;3
"635";635;0
"636";636;0
"637";637;2
"638";638;3
"639";639;3
"640";640;3
"641";641;1
"642";642;1
"643";643;3
"644";644;0
"645";645;1
"646";646;1
"647";647;3
"648";648;3
"649";649;3
"650";650;3
"651";651;1
"652";652;1
"653";653;1
"654";654;1
"655";655;1
"656";656;1
"657";657;1
"658";658;1
"659";659;1
"660";660;1
"661";661;2
"662";662;1
"663";663;1
"664";664;2
"665";665;0
"666";666;0
"667";667;2
"668";668;2
"669";669;2
"670";670;3
"671";671;2
"672";672;3
"673";673;0
"674";674;2
"675";675;0
"676";676;0
"677";677;0
"678";678;3
"679";679;3
"680";680;0
"681";681;0
"682";682;3
"683";683;0
"684";684;3
"685";685;3
"686";686;3
"687";687;2
"688";688;3
"689";689;2
"690";690;2
"691";691;2
"692";692;3
"693";693;2
"694";694;3
"695";695;0
"696";696;0
"697";697;2
"698";698;2
"699";699;3
"700";700;3
"701";701;1
"702";702;1
"703";703;1
"704";704;2
"705";705;0
"706";706;0
"707";707;2
"708";708;0
"709";709;0
"710";710;3
"711";711;3
"712";712;2
"713";713;0
"714";714;3
"715";715;2
"716";716;1
"717";717;2
"718";718;1
"719";719;3
"720";720;2
"721";721;3
"722";722;2
"723";723;3
"724";724;0
"725";725;0
"726";726;0
"727";727;1
"728";728;1
"729";729;1
"730";730;0
"731";731;1
"732";732;0
"733";733;1
"734";734;2
"735";735;0
"736";736;2
"737";737;3
"738";738;0
"739";739;0
"740";740;2
"741";741;1
"742";742;1
"743";743;1
"744";744;1
"745";745;1
"746";746;1
"747";747;1
"748";748;1
"749";749;1
"750";750;0
"751";751;2
"752";752;1
"753";753;0
"754";754;3
"755";755;2
"756";756;0
"757";757;3
"758";758;2
"759";759;3
"760";760;0
"761";761;3
"762";762;0
"763";763;2
"764";764;1
"765";765;1
"766";766;2
"767";767;1
"768";768;1
"769";769;1
"770";770;2
"771";771;0
"772";772;0
"773";773;0
"774";774;1
"775";775;1
"776";776;1
"777";777;1
"778";778;0
"779";779;3
"780";780;1
"781";781;0
"782";782;0
"783";783;1
"784";784;2
"785";785;1
"786";786;2
"787";787;3
"788";788;1
"789";789;1
"790";790;1
"791";791;3
"792";792;0
"793";793;3
"794";794;2
"795";795;0
"796";796;0
"797";797;1
"798";798;2
"799";799;2
"800";800;3
"801";801;2
"802";802;2
"803";803;1
"804";804;2
"805";805;3
"806";806;2
"807";807;2
"808";808;0
"809";809;2
"810";810;2
"811";811;0
"812";812;1
"813";813;1
"814";814;0
"815";815;2
"816";816;1
"817";817;1
"818";818;1
"819";819;1
"820";820;1
"821";821;1
"822";822;1
"823";823;1
"824";824;3
"825";825;3
"826";826;1
"827";827;1
"828";828;1
"829";829;1
"830";830;1
"831";831;1
"832";832;1
"833";833;1
"834";834;1
"835";835;1
"836";836;3
"837";837;3
"838";838;1
"839";839;0
"840";840;2
"841";841;2
"842";842;2
"843";843;2
"844";844;2
"845";845;3
"846";846;2
"847";847;2
"848";848;3
"849";849;3
"850";850;3
"851";851;2
"852";852;3
"853";853;3
"854";854;1
"855";855;3
"856";856;3
"857";857;2
"858";858;3
"859";859;3
"860";860;3
"861";861;2
"862";862;1
"863";863;1
"864";864;1
"865";865;3
"866";866;3
"867";867;3
"868";868;3
"869";869;2
"870";870;3
"871";871;2
"872";872;1
"873";873;0
"874";874;0
"875";875;3
"876";876;3
"877";877;0
"878";878;2
"879";879;0
"880";880;0
"881";881;3
"882";882;3
"883";883;3
