"";"classe 1";"classe 2";"classe 3"
"provide";-0,424;6,355;-3,52
"program";-2,021;0,065;1,169
"presence";-1,614;0,422;0,303
"popular";0,318;-2,664;1,169
"percentage";15,086;-3,201;-3,52
"pedagogical";-2,021;4,59;-0,609
"offer";0,065;-3,201;2,326
"numb";0,318;-2,664;1,169
"nature";-0,424;6,355;-3,52
"municipality";15,086;-3,201;-3,52
"mother";2,133;-0,002;-1,752
"metropolitan";11,276;-3,74;-1,538
"maria";-1,209;-0,002;1,158
"lack";-0,712;4,241;-1,538
"labour";-2,429;-3,201;10,407
"implication";-0,424;2,752;-1,052
"immigrant";-2,021;4,59;-0,609
"hold";1,352;-0,86;-0,031
"historically";-1,614;-0,164;2,529
"gap";-0,712;0,213;0,113
"gain";-0,184;4,59;-2,929
"finally";-0,424;2,752;-1,052
"express";-0,184;4,59;-2,929
"existence";0,7;1,589;-4,113
"evidence";-0,424;2,752;-1,052
"ethnographic";0,065;-0,004;-0,031
"emphasize";-0,424;0,635;-0,031
"emergence";-1,209;1,37;-0,015
"dynamic";-1,614;0,422;0,303
"dropout";2,425;0,065;-2,929
"document";-0,712;0,213;0,113
"discipline";-2,429;11,444;-3,52
"differential";2,425;-0,474;-0,609
"determinant";-0,184;0,065;0,023
"descriptive";4,285;-0,86;-1,052
"demand";-2,837;13,371;-4,113
"dance";0,033;-1,594;1,158
"continuity";-2,429;-3,201;10,407
"constitution";-2,429;-3,201;10,407
"consequence";0;0,213;-0,205
"condom";12,553;-2,664;-2,929
"coloniality";-1,614;-0,164;2,529
"collection";-0,424;2,752;-1,052
"brasil";-2,021;-2,664;8,66
"boy";7,51;-1,594;-1,752
"assess";15,086;-3,201;-3,52
"anthropological";-2,837;8,168;-1,538
"analytical";-2,429;-0,004;2,326
"agency";-2,021;4,59;-0,609
"youth";0,318;1,437;-2,929
"whiteness";-2,021;4,59;-0,609
"verify";-0,184;4,59;-2,929
"undertake";-2,021;4,59;-0,609
"tool";-2,021;1,437;0,023
"target";-2,021;0,065;1,169
"strong";1,352;-0,86;-0,031
"stress";-2,021;4,59;-0,609
"statistic";0,065;-3,201;2,326
"sociability";-1,614;-2,128;6,918
"small";2,425;-2,664;0,023
"sector";0,033;-0,002;-0,015
"search";1,352;-0,86;-0,031
"scope";-0,184;4,59;-2,929
"sample";15,086;-3,201;-3,52
"researcher";1,352;-0,86;-0,031
"reproductive";-2,021;0,065;1,169
"reinforce";-2,021;0,065;1,169
"queer";-2,021;1,437;0,023
"prejudice";-1,614;7,607;-2,34
"pr";10,028;-2,128;-2,34
"positive";1,352;-0,86;-0,031
"organize";-2,021;-0,474;4,048
"obtain";4,285;-0,86;-1,052
"migratory";-2,021;-2,664;8,66
"middle";2,425;-2,664;0,023
"menstrual";-1,209;-0,002;1,158
"mechanism";-0,184;1,437;-0,609
"maternal";15,086;-3,201;-3,52
"marielle";-1,209;-1,594;5,181
"limit";-1,614;2,903;-0,24
"latin";-2,429;11,444;-3,52
"key";-2,021;-0,474;4,048
"intersect";-2,021;-0,474;4,048
"implementation";-2,021;4,59;-0,609
"ideal";-2,429;11,444;-3,52
"household";15,086;-3,201;-3,52
"home";-1,614;-2,128;6,918
"half";-1,209;-0,002;1,158
"generation";0,318;-0,474;0,023
"fully";-1,209;5,697;-1,752
"feminine";0,065;-0,86;0,455
"evident";2,425;-0,474;-0,609
"estimate";6,503;-2,664;-0,609
"epistemological";-2,429;-0,004;2,326
"distribution";1,352;-0,004;-1,052
"dispute";-2,021;0,065;1,169
"determine";8,862;-3,201;-1,052
"democracy";-2,429;11,444;-3,52
"crt";-2,021;9,523;-2,929
"cross";1,352;-3,201;0,455
"criticism";-1,614;-0,164;2,529
"coverage";10,028;-2,128;-2,34
"colour";6,503;-2,664;-0,609
"bibliographic";1,352;0,635;-3,52
"assume";-2,021;4,59;-0,609
"answer";1,352;-0,004;-1,052
"agenda";-0,026;2,903;-2,34
"adopt";-0,184;4,59;-2,929
"act";0,899;-0,164;-0,24
"8perc";10,028;-2,128;-2,34
"20th";-1,209;-0,002;1,158
"1960s";-1,614;-0,164;2,529
"voice";-1,209;1,37;-0,015
"variation";2,425;-2,664;0,023
"universidade";0,899;0,422;-2,34
"textbook";-1,209;-0,002;1,158
"subjectivity";-2,021;-2,664;8,66
"std";12,553;-2,664;-2,929
"southern";0,033;-0,002;-0,015
"semi";0,318;0,065;-0,609
"selection";-1,614;-2,128;6,918
"retention";10,028;-2,128;-2,34
"respective";0,899;-0,164;-0,24
"respect";-2,021;-0,474;4,048
"regulation";-1,209;-0,002;1,158
"regressivity";7,51;-1,594;-1,752
"regional";0,899;0,422;-2,34
"refer";-2,021;4,59;-0,609
"reduction";4,233;-0,164;-2,34
"recidivism";7,51;-1,594;-1,752
"real";-2,021;0,065;1,169
"ratio";7,51;-1,594;-1,752
"quota";0,318;-0,474;0,023
"publication";-2,021;9,523;-2,929
"proportion";6,503;-2,664;-0,609
"police";-1,209;1,37;-0,015
"perform";0,899;-2,128;0,303
"perceive";-2,021;9,523;-2,929
"pay";0,033;-1,594;1,158
"original";-2,021;9,523;-2,929
"oppress";-1,614;2,903;-0,24
"onwards";-0,026;0,422;-0,24
"occupational";10,028;-2,128;-2,34
"obesity";0,899;0,422;-2,34
"nationality";-1,209;5,697;-1,752
"moment";-1,614;2,903;-0,24
"mobility";-0,026;0,422;-0,24
"majority";0,899;-0,164;-0,24
"legitimize";-1,614;7,607;-2,34
"large";-0,026;-2,128;2,529
"kinship";-1,614;-2,128;6,918
"intervention";0,318;0,065;-0,609
"interface";-2,021;1,437;0,023
"interest";-1,209;1,37;-0,015
"institute";2,425;-2,664;0,023
"horizonte";0,318;-2,664;1,169
"guide";-2,021;0,065;1,169
"grade";2,133;-0,002;-1,752
"goal";-1,209;1,37;-0,015
"future";-1,614;2,903;-0,24
"foster";-1,209;-0,002;1,158
"food";-1,614;-2,128;6,918
"fear";4,233;-0,164;-2,34
"favor";0,899;-0,164;-0,24
"fashion";-1,209;-1,594;5,181
"expansion";4,233;-2,128;-0,24
"exist";-2,021;4,59;-0,609
"engage";-0,184;-0,474;1,169
"encourage";-1,614;2,903;-0,24
"emotional";12,553;-2,664;-2,929
"educate";0,899;-0,164;-0,24
"dossier";-1,614;7,607;-2,34
"diversity";-2,021;-2,664;8,66
"disadvantage";4,233;-0,164;-2,34
"direct";2,133;-0,002;-1,752
"desire";-1,209;-1,594;5,181
"degree";0,899;0,422;-2,34
"definition";-0,026;-0,164;0,303
"define";-0,184;0,065;0,023
"curriculum";-1,614;7,607;-2,34
"contrast";-2,021;0,065;1,169
"contextual";10,028;-2,128;-2,34
"consideration";0,899;-0,164;-0,24
"conceptual";-1,614;-0,164;2,529
"complex";0,899;-0,164;-0,24
"comparison";0,033;-0,002;-0,015
"childhood";-1,209;-0,002;1,158
"birth";10,028;-2,128;-2,34
"bibliography";-1,209;5,697;-1,752
"belo";0,318;-2,664;1,169
"belief";-1,614;2,903;-0,24
"background";2,425;-0,474;-0,609
"attribute";-0,026;2,903;-2,34
"assumption";-1,209;5,697;-1,752
"artistic";-2,021;-2,664;8,66
"apc";7,51;-1,594;-1,752
"ancestry";0,033;-0,002;-0,015
"advance";-1,209;-1,594;5,181
"adult";10,028;-2,128;-2,34
"adjust";12,553;-2,664;-2,929
"achieve";2,133;-1,594;-0,015
"1990s";-1,209;1,37;-0,015
"western";-1,209;1,37;-0,015
"visual";4,233;-2,128;-0,24
"vision";-1,209;1,37;-0,015
"vary";10,028;-2,128;-2,34
"valid";4,233;-0,164;-2,34
"unequal";0,899;-0,164;-0,24
"undergraduate";10,028;-2,128;-2,34
"transvestite";-0,026;-2,128;2,529
"today";-1,614;-0,164;2,529
"technology";-1,614;-2,128;6,918
"superior";4,233;-0,164;-2,34
"subordination";-1,614;0,422;0,303
"strengthen";-0,026;0,422;-0,24
"sphere";-1,614;-0,164;2,529
"speak";-1,614;-0,164;2,529
"situate";-1,614;2,903;-0,24
"series";2,133;-0,002;-1,752
"select";-0,026;-2,128;2,529
"segment";0,033;-0,002;-0,015
"sectional";10,028;-2,128;-2,34
"resident";4,233;-2,128;-0,24
"require";4,233;-0,164;-2,34
"reproduce";0,033;-0,002;-0,015
"relative";7,51;-1,594;-1,752
"regard";7,51;-1,594;-1,752
"recognize";-0,026;-0,164;0,303
"range";10,028;-2,128;-2,34
"quantitative";10,028;-2,128;-2,34
"psychological";-1,209;-0,002;1,158
"proposition";-1,209;-1,594;5,181
"privilege";-0,026;2,903;-2,34
