"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"*2017";0,121141548572976;-0,180392163606728;0,557501103237138;-0,830176198098557;NA;NA;NA;NA;NA;0,113020699253088;NA
"*carlos_j";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*vieira_j";-0,381639426292466;-1,06310929880824;-0,337872946922869;-0,941191729531054;NA;NA;NA;NA;NA;0,559750471142943;NA
"*guimaraes_a";-0,381639426292466;-1,06310929880824;-0,337872946922869;-0,941191729531054;NA;NA;NA;NA;NA;0,559750471142943;NA
"*vieira_a";-0,381639426292466;-1,06310929880824;-0,337872946922869;-0,941191729531054;NA;NA;NA;NA;NA;0,559750471142943;NA
"*2019";0,239451221141583;-0,273998639407013;0,658041299163194;-0,752981838157878;NA;NA;NA;NA;NA;0,194616356132279;NA
"*moreira_s";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*partichelli_p";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*bazani_a";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*spengler_f";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*lima_f";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*santos_d";-0,997462453856956;1,18905207542134;-0,64268525002188;0,766130321423394;NA;NA;NA;NA;NA;0,826381926439207;NA
"*gonçalves_s";-0,997462453856956;1,18905207542134;-0,64268525002188;0,766130321423394;NA;NA;NA;NA;NA;0,826381926439207;NA
"*da_s_s";-0,997462453856956;1,18905207542134;-0,64268525002188;0,766130321423394;NA;NA;NA;NA;NA;0,826381926439207;NA
"*pinheiro_a";-0,997462453856956;1,18905207542134;-0,64268525002188;0,766130321423394;NA;NA;NA;NA;NA;0,826381926439207;NA
"*xavier_n";-0,381639426292466;-1,06310929880824;-0,337872946922869;-0,941191729531054;NA;NA;NA;NA;NA;0,559750471142943;NA
"*diallo_c";-0,79180285315638;-1,78322064594632;-0,405821877663311;-0,913952188908055;NA;NA;NA;NA;NA;0,979431254310531;NA
"*de_oliveira_s";0,363902118089697;1,4579398396016;0,242170552690327;0,970233695255768;NA;NA;NA;NA;NA;0,73390139665372;NA
"*terra_b";-1,11107569061437;-0,862272407081847;-0,790005626403135;-0,613099592441057;NA;NA;NA;NA;NA;0,783428571939928;NA
"*da_luz_c";-1,11107569061437;-0,862272407081847;-0,790005626403135;-0,613099592441057;NA;NA;NA;NA;NA;0,783428571939928;NA
"*abreu_m";-1,15652098531733;-1,68280220008312;-0,566393955119013;-0,824134629538549;NA;NA;NA;NA;NA;1,06453806891636;NA
"*2023";-0,121019074513701;0,556850382734408;-0,212370398420111;0,977189241587771;NA;NA;NA;NA;NA;0,277308888238267;NA
"*santana_e_s_c";2,62699622040106;-0,225397279711269;0,996339346345391;-0,0854862967032631;NA;NA;NA;NA;NA;1,5755329945347;NA
"*vilela_e";2,62699622040106;-0,225397279711269;0,996339346345391;-0,0854862967032631;NA;NA;NA;NA;NA;1,5755329945347;NA
