"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"304";3;4;4;4;4;4;4;4;4
"305";3;5;7;7;7;7;7;7;7
"306";3;5;6;9;10;13;14;14;14
"307";3;5;6;9;10;13;15;16;18
"308";3;5;6;9;10;13;14;14;14
"309";3;5;6;9;10;13;15;17;17
"310";3;5;6;9;10;13;14;14;14
"311";3;4;4;4;4;4;4;4;4
"312";3;5;6;9;10;13;14;14;14
"313";3;5;6;9;10;13;14;14;14
"314";3;5;6;9;10;13;14;14;14
"315";3;5;6;9;10;13;15;17;17
"316";3;5;6;9;10;13;15;16;18
"317";3;4;4;4;4;4;4;4;4
"318";3;4;4;4;4;4;4;4;4
"319";3;4;4;4;4;4;4;4;4
"320";3;4;4;4;4;4;4;4;4
"321";3;4;4;4;4;4;4;4;4
"322";3;5;6;9;10;13;14;14;14
"323";3;5;6;9;10;13;14;14;14
"324";3;5;6;9;10;13;15;16;18
"325";3;5;6;9;10;13;15;17;17
"326";3;5;6;9;10;13;14;14;14
"327";3;5;6;9;10;13;14;14;14
"328";3;5;6;9;10;13;15;17;17
"329";3;5;6;9;10;13;14;14;14
"330";3;5;7;7;7;7;7;7;7
"331";3;5;7;7;7;7;7;7;7
"332";3;5;7;7;7;7;7;7;7
"333";3;5;6;9;10;13;15;17;17
"334";3;4;4;4;4;4;4;4;4
"335";3;4;4;4;4;4;4;4;4
"336";3;4;4;4;4;4;4;4;4
"337";3;4;4;4;4;4;4;4;4
"338";3;4;4;4;4;4;4;4;4
"339";3;5;6;9;10;13;15;16;18
"340";3;5;6;9;10;13;15;16;18
"341";3;5;6;9;10;13;14;14;14
"342";3;5;6;9;10;13;15;16;18
"343";3;5;6;9;10;13;15;16;18
"344";3;5;6;9;10;13;15;16;18
"345";3;5;6;9;10;13;15;16;18
"346";3;5;7;7;7;7;7;7;7
"347";3;5;6;9;10;13;14;14;14
"348";3;5;6;9;10;13;15;17;17
"349";3;5;6;9;10;13;15;17;17
"350";3;4;4;4;4;4;4;4;4
"351";3;5;6;9;10;13;14;14;14
"352";3;4;4;4;4;4;4;4;4
"353";3;5;6;9;10;13;14;14;14
"354";3;5;6;9;10;13;14;14;14
"355";3;5;7;7;7;7;7;7;7
"356";3;5;6;9;10;13;14;14;14
"357";3;5;6;9;10;13;14;14;14
"358";3;5;6;9;10;13;15;16;18
"359";3;5;6;9;10;13;14;14;14
"360";3;5;6;9;10;13;14;14;14
"361";3;5;6;9;10;13;14;14;14
"362";3;5;6;9;10;13;14;14;14
"363";3;5;6;9;10;13;14;14;14
"364";3;5;6;9;10;13;14;14;14
"365";3;5;6;9;10;13;15;17;17
"366";3;5;6;9;10;13;14;14;14
"367";3;5;7;7;7;7;7;7;7
"368";3;5;6;9;10;13;15;16;18
"369";3;5;6;9;10;13;15;16;18
