perception;4;2;5
meaning;0;3;7
link;3;5;4
intersectionality;0;5;5
hierarchy;2;5;2
educational;4;7;2
dimension;4;0;6
construct;0;3;3
change;6;2;3
brown;8;1;2
addition;2;9;0
95percci;8;0;0
structural;2;4;4
service;4;3;3
racialized;0;0;9
position;2;1;5
past;1;1;8
methodology;1;9;1
material;3;2;6
market;3;0;6
mark;0;3;4
intersection;1;1;8
framework;0;9;2
describe;2;2;6
decolonial;0;6;2
deal;2;3;6
contemporary;1;6;4
conception;2;5;2
common;5;5;1
center;0;7;5
census;6;1;3
book;0;2;8
argue;0;8;4
affirmative;0;9;2
adolescent;8;2;0
train;1;9;0
speech;0;1;2
sexuality;1;0;9
sex;6;0;5
sense;1;8;0
risk;9;0;1
reference;2;6;0
play;2;4;1
place;1;2;3
organization;0;5;4
object;0;3;6
mobilize;0;2;6
methodological;0;10;0
medical;1;2;1
human;2;3;6
development;2;4;0
characteristic;6;1;2
build;1;3;5
apply;6;4;1
anti;0;2;6
wage;6;1;1
transformation;1;2;4
tax;4;0;1
sport;6;0;1
specifically;0;5;4
sociological;0;6;4
situation;3;6;1
racialization;0;0;5
questionnaire;6;2;0
pattern;7;0;2
participation;1;5;1
mental;5;0;0
memory;0;2;4
magazine;0;0;4
long;3;3;2
local;2;2;2
literary;0;6;2
line;2;6;1
legal;0;9;1
international;0;6;3
institution;4;2;3
informal;5;1;3
hypothesis;0;6;4
global;0;3;0
football;2;0;2
figure;0;1;7
ethnicity;3;3;2
demographic;4;1;5
current;0;4;4
community;3;2;2
challenge;0;5;2
type;4;0;4
support;2;1;0
story;0;3;2
socio;5;0;2
silence;0;3;3
significant;3;6;0
reproduction;0;3;5
represent;0;1;5
remain;4;2;3
religious;0;5;1
purpose;1;3;5
proposal;2;4;3
problem;1;6;1
possibility;0;3;5
patient;5;1;0
open;2;4;3
occur;8;0;0
network;1;1;1
nation;0;0;6
medium;0;5;3
measure;5;3;1
map;0;4;1
journal;1;1;2
investigation;1;5;2
intersectional;0;4;5
general;1;4;3
face;0;3;6
explain;2;4;2
empirical;2;4;3
draw;1;7;0
decision;2;1;5
database;5;1;1
daily;0;2;1
criminal;3;5;0
cohort;7;0;0
chance;6;0;0
brazilians;1;3;3
articulate;0;0;8
argument;0;0;6
affect;5;0;3
1930s;0;2;2
writer;0;3;1
write;0;6;2
vulnerability;6;0;2
unite;0;3;3
tradition;0;5;2
topic;0;5;3
territory;0;1;4
start;0;5;1
south;1;1;1
sociology;0;2;5
sexual;6;0;1
regression;8;0;0
read;0;5;1
private;4;2;2
poverty;2;0;2
phenomenon;3;3;2
participate;0;0;5
participant;2;1;1
origin;3;0;3
occupation;3;1;3
modernity;0;0;5
modern;0;1;5
light;0;1;5
lead;0;3;3
involve;2;0;5
institutional;3;4;1
ideology;0;3;1
fundamental;0;7;1
favela;0;0;6
exclusion;2;3;2
event;0;0;6
essay;0;3;0
equity;5;2;0
equality;1;1;4
enable;1;4;2
employ;4;2;2
domination;0;2;2
district;7;0;0
disparity;4;2;2
descendant;0;2;1
decade;2;2;3
create;2;5;0
content;1;0;6
constitute;1;1;4
composition;3;0;5
collect;3;4;1
character;0;2;4
bully;6;0;0
average;7;0;0
attention;0;5;2
articulation;0;2;5
victim;3;2;0
user;2;2;1
turn;1;4;0
trend;2;1;2
treatment;3;1;0
total;5;2;0
survival;5;0;0
suffer;3;1;2
statistical;6;0;1
short;2;1;1
ses;5;0;0
religion;0;4;0
relevant;0;6;0
relevance;1;1;2
reduce;3;1;1
recognition;0;4;2
recent;1;2;3
reason;0;6;0
rate;7;0;0
psychosocial;2;2;2
provide;1;5;0
program;0;2;3
presence;0;2;2
popular;2;0;3
percentage;6;0;0
pedagogical;0;4;1
offer;2;0;4
numb;2;0;3
nature;1;5;0
municipality;6;0;0
mother;2;1;0
metropolitan;6;0;1
maria;0;1;2
lack;1;5;1
labour;0;0;6
implication;1;4;1
immigrant;0;4;1
hold;3;1;2
historically;0;1;3
gap;1;3;3
gain;1;4;0
finally;1;4;1
express;1;4;0
existence;3;4;0
evidence;1;4;1
ethnographic;2;2;2
emphasize;1;3;2
emergence;0;2;1
dynamic;0;2;2
dropout;3;2;0
document;1;3;3
discipline;0;6;0
differential;3;1;1
determinant;1;2;2
descriptive;4;1;1
demand;0;7;0
dance;1;0;2
continuity;0;0;6
constitution;0;0;6
consequence;2;3;2
condom;5;0;0
coloniality;0;1;3
collection;1;4;1
brasil;0;0;5
boy;3;0;0
assess;6;0;0
anthropological;0;6;1
analytical;0;2;4
agency;0;4;1
youth;2;3;0
whiteness;0;4;1
verify;1;4;0
undertake;0;4;1
tool;0;3;2
target;0;2;3
strong;3;1;2
stress;0;4;1
statistic;2;0;4
sociability;0;0;4
small;3;0;2
sector;1;1;1
search;3;1;2
scope;1;4;0
sample;6;0;0
researcher;3;1;2
reproductive;0;2;3
reinforce;0;2;3
queer;0;3;2
prejudice;0;4;0
pr;4;0;0
positive;3;1;2
organize;0;1;4
obtain;4;1;1
migratory;0;0;5
middle;3;0;2
menstrual;0;1;2
mechanism;1;3;1
maternal;6;0;0
marielle;0;0;3
limit;0;3;1
latin;0;6;0
key;0;1;4
intersect;0;1;4
implementation;0;4;1
ideal;0;6;0
household;6;0;0
home;0;0;4
half;0;1;2
generation;2;1;2
fully;0;3;0
feminine;2;1;3
